;datetime;handedness;stance;gender;praticant
134;6/12/2022 4:01:47;R;G;M;Y
135;6/12/2022 4:02:54;R;G;F;Y
136;6/12/2022 4:03:25;L;R;M;Y
137;6/12/2022 4:04:55;R;G;F;N
138;6/12/2022 4:15:31;R;G;F;Y
139;6/12/2022 4:16:30;R;G;F;Y
140;6/12/2022 5:36:33;R;R;F;N
141;6/12/2022 5:37:14;R;R;F;Y
142;6/12/2022 5:52:58;R;R;F;Y
143;6/12/2022 5:54:10;R;R;F;Y
144;6/12/2022 5:54:53;L;R;M;Y
145;6/12/2022 5:55:55;R;G;M;Y
146;6/12/2022 6:04:15;L;G;M;Y
147;6/12/2022 6:19:57;L;R;F;Y
148;6/12/2022 6:21:02;R;R;F;N
149;6/12/2022 6:22:09;R;G;F;Y
150;6/12/2022 6:23:12;R;G;F;Y
151;6/12/2022 6:24:09;R;G;F;Y
152;6/12/2022 8:52:20;R;R;F;N
153;6/17/2022 0:33:27;L;G;M;Y
154;6/17/2022 0:37:01;R;G;M;Y
155;6/17/2022 1:02:43;R;R;M;N
156;6/17/2022 1:03:25;R;R;M;Y
157;6/17/2022 1:05:47;R;G;F;N
158;6/17/2022 5:31:00;R;R;M;Y
159;6/19/2022 2:56:12;L;G;F;N
160;6/19/2022 2:57:37;R;G;M;Y
161;6/19/2022 3:37:36;R;G;F;Y
162;6/19/2022 3:38:56;R;G;F;Y
163;6/22/2022 22:03:13;R;G;F;N
164;7/2/2022 23:57:48;L;R;F;N
