Date,Ibirapuera,Pinheiros
September 9, 2016,1039,1113
September 10, 2016,2130,2258
September 11, 2016,1305,1480
September 12, 2016,1550,1639
September 13, 2016,1321,1411
September 14, 2016,1349,1516
September 15, 2016,1105,1287
September 16, 2016,1029,1099
September 17, 2016,1851,2077
September 18, 2016,1218,1383
September 19, 2016,1010,1139
September 20, 2016,994,1147
September 21, 2016,1284,1381
September 22, 2016,1243,1383
September 23, 2016,787,894
September 24, 2016,743,763
September 25, 2016,1200,1235
September 26, 2016,1413,1538
September 27, 2016,1327,1493
September 28, 2016,1254,1445
September 29, 2016,1130,1277
September 30, 2016,815,869
October 1, 2016,1464,1657
October 2, 2016,587,619
October 3, 2016,997,1115
October 4, 2016,1247,1400
October 5, 2016,1061,1235
October 6, 2016,1092,1210
October 7, 2016,1166,1307
October 8, 2016,2030,2186
October 9, 2016,1197,1296
October 10, 2016,1156,1248
October 11, 2016,2163,2439
October 12, 2016,889,896
October 13, 2016,976,1078
October 14, 2016,1038,1133
October 15, 2016,2126,2298
October 16, 2016,1233,1388
October 17, 2016,1563,1788
October 18, 2016,1466,1593
October 19, 2016,944,1009
October 20, 2016,919,1044
October 21, 2016,744,739
October 22, 2016,2059,2298
October 23, 2016,1228,1410
October 24, 2016,814,843
October 25, 2016,1448,1498
October 26, 2016,1149,1276
October 27, 2016,1254,1358
October 28, 2016,1002,1153
October 29, 2016,1965,2164
October 30, 2016,1433,1585
October 31, 2016,1474,1672
November 1, 2016,2256,2570
November 2, 2016,641,709
November 3, 2016,889,977
November 4, 2016,845,906
November 5, 2016,1730,1969
November 6, 2016,1352,1507
November 7, 2016,1595,1748
November 8, 2016,1106,1107
November 9, 2016,1159,1349
November 10, 2016,1219,1392
November 11, 2016,542,587
November 12, 2016,87,95
November 13, 2016,432,510
November 14, 2016,959,1059
November 15, 2016,1103,1226
November 16, 2016,1102,1238
November 17, 2016,921,1062
November 18, 2016,783,820
November 19, 2016,2044,2329
November 20, 2016,1407,1573
November 21, 2016,1427,1583
November 22, 2016,1009,1130
November 23, 2016,1395,1553
November 24, 2016,1211,1400
November 25, 2016,1078,1126
November 26, 2016,2017,2174
November 27, 2016,1219,1367
November 28, 2016,1007,1143
November 29, 2016,967,1084
November 30, 2016,1208,1401
December 1, 2016,1229,1376
December 2, 2016,780,882
December 3, 2016,1611,1729
December 4, 2016,1382,1512
December 5, 2016,1575,1749
December 6, 2016,1324,1403
December 7, 2016,1357,1508
December 8, 2016,1201,1368
December 9, 2016,878,904
December 10, 2016,966,1157
December 11, 2016,933,1019
December 12, 2016,1437,1631
December 13, 2016,1245,1325
December 14, 2016,978,1126
December 15, 2016,1112,1277
December 16, 2016,922,1073
December 17, 2016,1655,1796
December 18, 2016,1021,1180
December 19, 2016,1201,1354
December 20, 2016,996,1061
December 21, 2016,1097,1273
December 22, 2016,892,994
December 23, 2016,776,821
December 24, 2016,771,872
December 25, 2016,1015,1080
December 26, 2016,912,1042
December 27, 2016,859,903
December 28, 2016,720,802
December 29, 2016,722,737
December 30, 2016,533,554
December 31, 2016,627,737
January 1, 2017,590,630
January 2, 2017,896,1013
January 3, 2017,1132,1261
January 4, 2017,1171,1294
January 5, 2017,907,1006
January 6, 2017,914,1007
January 7, 2017,2223,2297
January 8, 2017,1132,1261
January 9, 2017,1475,1608
January 10, 2017,1243,1383
January 11, 2017,1205,1237
