Date,Ibirapuera,Pinheiros
November 6, 2018,3178,3312
November 7, 2018,2898,3118
November 8, 2018,3226,3387
November 9, 2018,1366,1413
November 10, 2018,2576,2805
November 11, 2018,3311,3625
November 12, 2018,3581,3870
November 13, 2018,3444,3706
November 14, 2018,1738,1889
November 15, 2018,2117,2323
November 16, 2018,1915,2085
November 17, 2018,2097,2231
November 18, 2018,549,585
November 19, 2018,1696,1822
November 20, 2018,3276,3875
November 21, 2018,3753,4301
November 22, 2018,3623,4085
November 23, 2018,1408,1582
November 24, 2018,1647,1772
November 25, 2018,3526,4199
November 26, 2018,3968,4616
November 27, 2018,3986,4558
November 28, 2018,3715,3873
November 29, 2018,3399,3642
November 30, 2018,1352,1531
December 1, 2018,2579,2639
December 2, 2018,3009,3723
December 3, 2018,4142,4794
December 4, 2018,3926,4484
December 5, 2018,3912,4413
December 6, 2018,3579,3947
December 7, 2018,1463,1523
December 8, 2018,2976,3270
December 9, 2018,3825,4320
December 10, 2018,4272,4537
December 11, 2018,4082,4493
December 12, 2018,3636,4069
December 13, 2018,3885,4343
December 14, 2018,1780,1975
December 15, 2018,2324,2596
December 16, 2018,3527,4110
December 17, 2018,3494,4068
December 18, 2018,3565,3891
December 19, 2018,3688,4179
December 20, 2018,3230,3650
December 21, 2018,1577,1638
December 22, 2018,1793,1862
December 23, 2018,798,842
December 24, 2018,823,856
December 25, 2018,2257,2648
December 26, 2018,2371,2732
December 27, 2018,1943,2214
December 28, 2018,1424,1617
December 29, 2018,1992,2094
December 30, 2018,896,964
December 31, 2018,700,769
January 1, 2019,1856,2294
January 2, 2019,2137,2485
January 3, 2019,1944,1801
January 4, 2019,777,932
January 5, 2019,2794,2919
January 6, 2019,3097,3588
January 7, 2019,3160,3365
January 8, 2019,3389,3940
January 9, 2019,3364,3766
January 10, 2019,2960,3378
January 11, 2019,2119,2384
January 12, 2019,2892,3219
January 13, 2019,3256,3698
January 14, 2019,3855,4275
January 15, 2019,3478,3924
January 16, 2019,3246,3259
January 17, 2019,3377,3911
January 18, 2019,1966,2184
January 19, 2019,2820,3154
January 20, 2019,3352,3886
January 21, 2019,3378,3806
January 22, 2019,3594,4095
January 23, 2019,3301,3899
January 24, 2019,1659,1841
January 25, 2019,1704,1898
January 26, 2019,2994,3265
January 27, 2019,3368,3997
January 28, 2019,3814,4153
January 29, 2019,3643,3999
January 30, 2019,3757,4204
January 31, 2019,3461,4155
February 1, 2019,1870,2097
February 2, 2019,2895,3165
February 3, 2019,1845,2585
February 4, 2019,3623,4013
February 5, 2019,1162,1726
February 6, 2019,3646,4125
February 7, 2019,3624,4254
February 8, 2019,2049,2307
February 9, 2019,3123,3520
February 10, 2019,3664,4272
February 11, 2019,3330,3228
February 12, 2019,2465,3096
February 13, 2019,3739,4151
February 14, 2019,2858,2946
February 15, 2019,581,716
February 16, 2019,2076,2302
February 17, 2019,3596,4082
February 18, 2019,4103,4188
February 19, 2019,3715,3858
February 20, 2019,3240,2955
February 21, 2019,2820,1613
February 22, 2019,821,1078
February 23, 2019,1240,1646
February 24, 2019,3003,3431
February 25, 2019,1726,2538
February 26, 2019,3411,3780
February 27, 2019,1601,2092
February 28, 2019,2423,2760
March 1, 2019,578,735
March 2, 2019,900,1425
March 3, 2019,995,1065
March 4, 2019,1341,1425
March 5, 2019,1946,2033
March 6, 2019,3061,3061
March 7, 2019,3482,3873
March 8, 2019,1235,1261
March 9, 2019,1754,1983
March 10, 2019,2637,2973
March 11, 2019,3678,3602
March 12, 2019,3732,4133
March 13, 2019,3372,3357
March 14, 2019,3234,3610
March 15, 2019,1745,1840
March 16, 2019,1993,2056
March 17, 2019,3543,3816
March 18, 2019,3558,3653
March 19, 2019,3637,4101
March 20, 2019,1975,2378
March 21, 2019,3306,3861
March 22, 2019,1929,2142
March 23, 2019,2895,3092
March 24, 2019,3602,4153
March 25, 2019,3904,4458
March 26, 2019,3897,4182
March 27, 2019,3528,3926
March 28, 2019,3611,4147
March 29, 2019,1766,2015
March 30, 2019,2760,3052
March 31, 2019,3662,3992
April 1, 2019,4164,4365
April 2, 2019,3990,4339
April 3, 2019,4122,4468
April 4, 2019,3935,4239
April 5, 2019,1378,1372
April 6, 2019,1804,2035
April 7, 2019,1264,1034
April 8, 2019,1829,2020
April 9, 2019,3330,3638
April 10, 2019,3771,4182
April 11, 2019,3701,3989
April 12, 2019,1913,2202
April 13, 2019,694,778
April 14, 2019,3613,3972
April 15, 2019,3744,3937
April 16, 2019,3717,4136
April 17, 2019,3777,4200
April 18, 2019,2333,2507
April 19, 2019,1890,2092
April 20, 2019,1849,2080
April 21, 2019,3578,3681
April 22, 2019,3825,3848
April 23, 2019,4022,4246
April 24, 2019,3729,4113
April 25, 2019,3570,4088
April 26, 2019,1955,2228
April 27, 2019,2386,2563
April 28, 2019,3531,3880
April 29, 2019,3866,4258
April 30, 2019,3248,3475
May 1, 2019,3812,4080
May 2, 2019,3777,4151
May 3, 2019,2035,2196
May 4, 2019,2630,3048
May 5, 2019,3618,4072
May 6, 2019,3582,3610
May 7, 2019,3681,3950
May 8, 2019,3740,3918
May 9, 2019,3753,3971
May 10, 2019,1656,1813
May 11, 2019,1493,1662
May 12, 2019,3534,3883
May 13, 2019,3707,3609
May 14, 2019,3463,3722
May 15, 2019,2703,2828
May 16, 2019,1936,2594
May 17, 2019,673,814
May 18, 2019,1986,2225
May 19, 2019,3456,3596
May 20, 2019,3701,4024
May 21, 2019,3795,3945
May 22, 2019,3761,4007
May 23, 2019,2427,2725
May 24, 2019,1476,1659
May 25, 2019,2288,2501
May 26, 2019,3451,3713
May 27, 2019,3877,4026
May 28, 2019,3478,3697
May 29, 2019,3407,3268
May 30, 2019,3320,3550
May 31, 2019,1031,1153
June 1, 2019,414,432
June 2, 2019,1399,1996
June 3, 2019,3084,2964
June 4, 2019,2460,2639
June 5, 2019,3340,3427
June 6, 2019,3295,3580
June 7, 2019,1452,1476
June 8, 2019,2023,2203
June 9, 2019,3342,3407
June 10, 2019,3519,3660
June 11, 2019,3641,3781
June 12, 2019,3667,3730
June 13, 2019,3434,3518
June 14, 2019,1677,1760
June 15, 2019,2612,2611
June 16, 2019,3441,3717
June 17, 2019,3697,3764
June 18, 2019,3618,3739
June 19, 2019,2258,2271
June 20, 2019,2033,2161
June 21, 2019,1649,1660
June 22, 2019,2408,2552
June 23, 2019,3375,3660
June 24, 2019,3730,3966
June 25, 2019,3693,3963
June 26, 2019,3568,3725
June 27, 2019,3492,3751
June 28, 2019,1729,1794
June 29, 2019,2601,2733
June 30, 2019,3483,3582
July 1, 2019,3656,3848
July 2, 2019,3470,3816
July 3, 2019,631,630
July 4, 2019,1283,1638
July 5, 2019,1016,1058
July 6, 2019,886,977
July 7, 2019,1782,1860
July 8, 2019,1930,2164
July 9, 2019,2907,2971
July 10, 2019,3100,3311
July 11, 2019,2974,3119
July 12, 2019,1630,1616
July 13, 2019,2431,2491
July 14, 2019,3077,3241
July 15, 2019,2715,2733
July 16, 2019,2724,2775
July 17, 2019,3029,3074
July 18, 2019,2853,3065
July 19, 2019,1580,1655
July 20, 2019,2383,2432
July 21, 2019,3036,3192
July 22, 2019,3516,3514
July 23, 2019,3467,3538
July 24, 2019,3318,3411
July 25, 2019,3233,3378
July 26, 2019,1937,1905
July 27, 2019,2280,2261
July 28, 2019,3266,3551
July 29, 2019,3471,3381
July 30, 2019,3634,3743
July 31, 2019,3670,3904
August 1, 2019,3283,3249
August 2, 2019,737,816
August 3, 2019,817,872
August 4, 2019,2875,2929
August 5, 2019,3580,3689
August 6, 2019,3832,3855
August 7, 2019,3838,4044
August 8, 2019,3470,3910
August 9, 2019,1715,1815
August 10, 2019,1709,1798
August 11, 2019,3697,3851
August 12, 2019,3560,3362
August 13, 2019,2666,2746
August 14, 2019,3585,3856
August 15, 2019,3500,3808
August 16, 2019,1811,1890
August 17, 2019,2603,2658
August 18, 2019,2587,2451
August 19, 2019,2906,3141
August 20, 2019,3417,3476
August 21, 2019,3445,3662
August 22, 2019,3231,3468
August 23, 2019,1219,1279
August 24, 2019,1872,2017
August 25, 2019,3530,3664
August 26, 2019,3883,3912
August 27, 2019,3704,3898
August 28, 2019,3973,4102
August 29, 2019,3836,3978
August 30, 2019,1788,1708
August 31, 2019,861,961
September 1, 2019,2435,2664
September 2, 2019,2992,2578
September 3, 2019,3110,3107
September 4, 2019,2466,2640
September 5, 2019,3121,3043
September 6, 2019,1747,1916
September 7, 2019,2605,2761
September 8, 2019,3636,4024
September 9, 2019,4075,4273
September 10, 2019,4022,4060
September 11, 2019,4020,4081
September 12, 2019,3406,3655
September 13, 2019,1672,1775
September 14, 2019,2566,2661
September 15, 2019,3653,3891
September 16, 2019,4183,4346
September 17, 2019,3967,4246
September 18, 2019,3896,3899
September 19, 2019,3279,3611
September 20, 2019,1364,1411
September 21, 2019,1148,1228
September 22, 2019,2898,2996
September 23, 2019,3793,3792
September 24, 2019,3255,3069
September 25, 2019,3385,3482
September 26, 2019,3407,3537
September 27, 2019,1324,1335
September 28, 2019,2533,2514
September 29, 2019,3692,3697
September 30, 2019,3955,4101
October 1, 2019,3977,3994
October 2, 2019,3996,3986
October 3, 2019,3716,3813
October 4, 2019,1605,1670
October 5, 2019,2030,2127
October 6, 2019,3299,2948
October 7, 2019,3002,2515
October 8, 2019,3122,3346
October 9, 2019,3794,3917
October 10, 2019,3572,3850
October 11, 2019,1678,1848
October 12, 2019,2201,2378
October 13, 2019,3589,3551
October 14, 2019,3728,3736
October 15, 2019,3737,3672
October 16, 2019,3768,3696
October 17, 2019,3370,3320
October 18, 2019,1532,1589
October 19, 2019,1617,1728
October 20, 2019,3227,3175
October 21, 2019,3919,3867
October 22, 2019,3849,3707
October 23, 2019,3930,3745
October 24, 2019,3736,3697
October 25, 2019,1577,1617
October 26, 2019,2411,2574
October 27, 2019,3352,3519
October 28, 2019,3976,3954
October 29, 2019,3792,3862
October 30, 2019,3807,3543
October 31, 2019,3621,3573
November 1, 2019,1731,1774
November 2, 2019,2247,2262
November 3, 2019,3581,3537
November 4, 2019,3340,2171
November 5, 2019,2993,3128
November 6, 2019,3348,3229
November 7, 2019,3238,3118
November 8, 2019,1473,1587
November 9, 2019,1655,1722
November 10, 2019,3306,3283
November 11, 2019,3715,3739
November 12, 2019,3634,3466
November 13, 2019,2508,2592
November 14, 2019,604,713
November 15, 2019,1515,1653
November 16, 2019,2289,2424
November 17, 2019,3231,3224
November 18, 2019,3587,3387
November 19, 2019,2236,2270
November 20, 2019,3666,3556
November 21, 2019,3330,3489
November 22, 2019,1287,1403
November 23, 2019,1462,1656
November 24, 2019,3512,3506
November 25, 2019,3807,3678
November 26, 2019,3141,2337
November 27, 2019,1915,2223
November 28, 2019,3605,3622
November 29, 2019,1542,1635
November 30, 2019,1791,1933
December 1, 2019,2806,2854
December 2, 2019,3802,3548
December 3, 2019,3481,3412
December 4, 2019,3173,2842
December 5, 2019,3045,3098
December 6, 2019,1695,1670
December 7, 2019,2242,2344
December 8, 2019,3353,3059
December 9, 2019,3014,2500
December 10, 2019,2908,2093
December 11, 2019,3507,3687
December 12, 2019,3155,3200
December 13, 2019,1248,1335
December 14, 2019,2076,2176
December 15, 2019,3491,3579
December 16, 2019,3475,3339
December 17, 2019,2311,2474
December 18, 2019,3264,3254
December 19, 2019,3074,3126
December 20, 2019,1379,1473
December 21, 2019,1638,1784
December 22, 2019,1586,1201
December 23, 2019,1210,1248
December 24, 2019,784,852
December 25, 2019,2176,2185
December 26, 2019,2039,1901
December 27, 2019,1259,1316
December 28, 2019,1667,1759
December 29, 2019,1274,1252
December 30, 2019,735,844
December 31, 2019,568,606
January 1, 2020,1192,985
January 2, 2020,1496,1498
January 3, 2020,893,917
January 4, 2020,1528,1658
January 5, 2020,2940,2835
January 6, 2020,3078,3062
January 7, 2020,2726,2212
January 8, 2020,2947,2633
January 9, 2020,3005,3004
January 10, 2020,1498,1552
January 11, 2020,1557,1578
January 12, 2020,2800,2591
January 13, 2020,3259,3231
January 14, 2020,3307,3359
January 15, 2020,2767,2668
January 16, 2020,2332,2293
January 17, 2020,1454,1531
January 18, 2020,1886,1979
January 19, 2020,3098,3064
January 20, 2020,3434,3452
January 21, 2020,3262,2935
January 22, 2020,2326,2308
January 23, 2020,1808,2073
January 24, 2020,1643,1783
January 25, 2020,2353,2489
January 26, 2020,3113,3183
January 27, 2020,3326,2921
January 28, 2020,3520,3401
January 29, 2020,2881,1656
January 30, 2020,2967,2990
January 31, 2020,1021,1089
February 1, 2020,1392,1458
February 2, 2020,1691,1342
February 3, 2020,2749,2770
February 4, 2020,2983,2824
February 5, 2020,3187,3031
February 6, 2020,3182,3152
February 7, 2020,1500,1566
February 8, 2020,2026,2184
February 9, 2020,888,1170
February 10, 2020,2012,2388
February 11, 2020,2748,2681
February 12, 2020,3235,3347
February 13, 2020,3403,3455
February 14, 2020,1306,1528
February 15, 2020,1550,1702
February 16, 2020,3373,3333
February 17, 2020,3452,3222
February 18, 2020,3211,2713
February 19, 2020,3267,3084
February 20, 2020,2445,2436
February 21, 2020,647,804
February 22, 2020,1071,1152
February 23, 2020,829,840
February 24, 2020,1099,1167
February 25, 2020,1025,1061
February 26, 2020,1885,2072
February 27, 2020,2526,2414
February 28, 2020,855,951
February 29, 2020,1100,1139
March 1, 2020,2688,1947
March 2, 2020,2724,2894
March 3, 2020,3376,3299
March 4, 2020,3422,3467
March 5, 2020,3476,3391
March 6, 2020,1582,1760
March 7, 2020,1803,1749
March 8, 2020,3368,3482
March 9, 2020,3771,3728
March 10, 2020,3637,3516
March 11, 2020,3573,3357
March 12, 2020,3190,3188
March 13, 2020,1644,1718
March 14, 2020,2153,2235
March 15, 2020,2506,2316
March 16, 2020,1812,1829
March 17, 2020,1751,1777
March 18, 2020,1312,1338
March 19, 2020,1159,1097
March 20, 2020,995,1106
March 21, 2020,1452,1544
March 22, 2020,886,922
March 23, 2020,930,1015
March 24, 2020,1019,1114
March 25, 2020,1142,1211
March 26, 2020,1229,1300
March 27, 2020,1588,1679
March 28, 2020,1329,1458
March 29, 2020,963,1036
March 30, 2020,1189,1365
March 31, 2020,1366,1431
April 1, 2020,1299,1419
April 2, 2020,1043,1168
April 3, 2020,2011,2159
April 4, 2020,2068,2263
April 5, 2020,1123,1241
April 6, 2020,864,961
April 7, 2020,966,1065
April 8, 2020,1308,1408
April 9, 2020,1595,1854
April 10, 2020,1524,1698
April 11, 2020,1463,1620
April 12, 2020,1121,1192
April 13, 2020,1109,1189
April 14, 2020,1274,1338
April 15, 2020,1254,1401
April 16, 2020,1086,1250
April 17, 2020,1717,1833
April 18, 2020,2046,2251
April 19, 2020,1200,1234
April 20, 2020,2250,2421
April 21, 2020,1190,1250
April 22, 2020,1453,1585
April 23, 2020,1199,1295
April 24, 2020,2088,2212
April 25, 2020,2385,2687
April 26, 2020,1294,1373
April 27, 2020,1407,1607
April 28, 2020,1328,1532
April 29, 2020,1200,1441
April 30, 2020,1965,2217
May 1, 2020,1463,1667
May 2, 2020,1882,2172
May 3, 2020,991,1113
May 4, 2020,1228,1330
May 5, 2020,848,954
May 6, 2020,584,619
May 7, 2020,934,975
May 8, 2020,1776,1957
May 9, 2020,1442,1657
May 10, 2020,1196,1256
May 11, 2020,1396,1507
May 12, 2020,1220,1282
May 13, 2020,816,873
May 14, 2020,928,1016
May 15, 2020,2056,2343
May 16, 2020,2242,2541
May 17, 2020,1089,1128
May 18, 2020,1273,1334
May 19, 2020,1501,1663
May 20, 2020,1576,1670
May 21, 2020,1229,1342
May 22, 2020,1095,1199
May 23, 2020,1363,1542
May 24, 2020,1245,1411
May 25, 2020,1098,1106
May 26, 2020,1177,1235
May 27, 2020,1145,1254
May 28, 2020,1177,1156
May 29, 2020,2042,2155
May 30, 2020,2468,2635
May 31, 2020,1118,1145
June 1, 2020,582,605
June 2, 2020,1002,1136
June 3, 2020,909,995
June 4, 2020,880,994
June 5, 2020,1788,1997
June 6, 2020,2472,2937
June 7, 2020,1207,1277
June 8, 2020,1318,1432
June 9, 2020,1269,1424
June 10, 2020,1891,2084
June 11, 2020,1354,1531
June 12, 2020,2527,2804
June 13, 2020,1082,1254
June 14, 2020,1089,1164
June 15, 2020,1414,1563
June 16, 2020,1487,1624
June 17, 2020,1544,1741
June 18, 2020,1517,1590
June 19, 2020,2603,2904
June 20, 2020,3099,3215
June 21, 2020,1360,1494
June 22, 2020,1641,1808
June 23, 2020,1541,1748
June 24, 2020,1570,1710
June 25, 2020,870,1015
June 26, 2020,378,427
June 27, 2020,1673,1834
June 28, 2020,1259,1435
June 29, 2020,1535,1642
June 30, 2020,1084,1117
July 1, 2020,1560,1592
July 2, 2020,1298,1399
July 3, 2020,2344,2592
July 4, 2020,2792,3145
July 5, 2020,1388,1511
July 6, 2020,1749,1827
July 7, 2020,1791,1869
July 8, 2020,1627,1789
July 9, 2020,1463,1596
July 10, 2020,2440,2771
July 11, 2020,3170,3521
July 12, 2020,1516,1583
July 13, 2020,1239,1375
July 14, 2020,1168,1287
July 15, 2020,1409,1566
July 16, 2020,1383,1480
July 17, 2020,2500,2635
July 18, 2020,3495,3838
July 19, 2020,1482,1596
July 20, 2020,1749,1902
July 21, 2020,1707,1784
July 22, 2020,1738,1869
July 23, 2020,1565,1702
July 24, 2020,2676,2933
July 25, 2020,2788,3174
July 26, 2020,1433,1565
July 27, 2020,1858,2022
July 28, 2020,1130,1207
July 29, 2020,987,1036
July 30, 2020,1219,1325
July 31, 2020,2303,2569
August 1, 2020,3508,3834
August 2, 2020,1435,1439
August 3, 2020,1630,1815
August 4, 2020,1606,1694
August 5, 2020,1639,1662
August 6, 2020,1556,1630
August 7, 2020,2532,2730
August 8, 2020,2623,2944
August 9, 2020,1505,1659
August 10, 2020,1883,1977
August 11, 2020,1622,1757
August 12, 2020,1482,1553
August 13, 2020,1550,1652
August 14, 2020,1487,1630
August 15, 2020,768,930
August 16, 2020,720,744
August 17, 2020,851,928
August 18, 2020,1230,1311
August 19, 2020,784,763
August 20, 2020,265,329
August 21, 2020,563,631
August 22, 2020,2087,2498
August 23, 2020,1156,1209
August 24, 2020,1347,1378
August 25, 2020,1459,1465
August 26, 2020,1501,1604
August 27, 2020,1459,1512
August 28, 2020,2370,2590
August 29, 2020,3333,3754
August 30, 2020,1116,1202
August 31, 2020,1353,1493
September 1, 2020,1469,1566
September 2, 2020,1512,1573
September 3, 2020,1274,1492
September 4, 2020,2079,2233
September 5, 2020,3040,3318
September 6, 2020,2897,3149
September 7, 2020,1328,1451
September 8, 2020,1413,1577
September 9, 2020,1514,1571
September 10, 2020,1313,1394
September 11, 2020,2237,2332
September 12, 2020,3252,3452
September 13, 2020,1334,1333
September 14, 2020,1372,1422
September 15, 2020,1553,1689
September 16, 2020,1445,1550
September 17, 2020,1364,1456
September 18, 2020,2333,2610
September 19, 2020,1760,2030
September 20, 2020,764,767
September 21, 2020,682,693
September 22, 2020,1249,1305
September 23, 2020,1522,1518
September 24, 2020,1452,1521
September 25, 2020,2202,2521
September 26, 2020,3194,3509
September 27, 2020,1147,1198
September 28, 2020,1444,1493
September 29, 2020,1501,1492
September 30, 2020,1415,1458
October 1, 2020,862,713
October 2, 2020,112,115
October 3, 2020,31,145
October 4, 2020,41,103
October 5, 2020,33,92
October 6, 2020,35,81
October 7, 2020,24,60
October 8, 2020,17,30
October 9, 2020,50,130
October 10, 2020,73,175
October 11, 2020,73,170
October 12, 2020,215,369
October 13, 2020,1410,1547
October 14, 2020,847,904
October 15, 2020,957,1014
October 16, 2020,1398,1661
October 17, 2020,2972,3348
October 18, 2020,940,901
October 19, 2020,1095,1162
October 20, 2020,1349,1516
October 21, 2020,1450,1525
October 22, 2020,1443,1572
October 23, 2020,1656,1739
October 24, 2020,1807,2163
October 25, 2020,1346,1451
October 26, 2020,1599,1738
October 27, 2020,1659,1707
October 28, 2020,1165,1172
October 29, 2020,370,390
October 30, 2020,567,641
October 31, 2020,1090,1177
November 1, 2020,2194,2524
November 2, 2020,1242,1386
November 3, 2020,1380,1428
November 4, 2020,1005,1178
November 5, 2020,1323,1477
November 6, 2020,1848,2062
November 7, 2020,3129,3554
November 8, 2020,1154,1195
November 9, 2020,1338,1452
November 10, 2020,1115,1081
November 11, 2020,1219,1408
November 12, 2020,1102,1166
November 13, 2020,1942,2221
November 14, 2020,2384,2605
November 15, 2020,1229,1376
November 16, 2020,919,999
November 17, 2020,849,791
November 18, 2020,541,655
November 19, 2020,1339,1397
November 20, 2020,1926,2119
November 21, 2020,2924,3219
November 22, 2020,1278,1391
November 23, 2020,1516,1686
November 24, 2020,1523,1600
November 25, 2020,1436,1525
November 26, 2020,1361,1548
November 27, 2020,1874,2074
November 28, 2020,2435,2774
November 29, 2020,1019,1072
November 30, 2020,1329,1367
December 1, 2020,1479,1638
December 2, 2020,1542,1786
December 3, 2020,1367,1544
December 4, 2020,1501,1607
December 5, 2020,1989,2306
December 6, 2020,1000,1092
December 7, 2020,1180,1223
December 8, 2020,1471,1611
December 9, 2020,1534,1643
December 10, 2020,1237,1304
December 11, 2020,1681,1848
December 12, 2020,2398,2692
December 13, 2020,1279,1458
December 14, 2020,1255,1328
December 15, 2020,1397,1505
December 16, 2020,1173,1257
December 17, 2020,1137,1239
December 18, 2020,1687,1827
December 19, 2020,2325,2642
December 20, 2020,907,990
December 21, 2020,902,1068
December 22, 2020,1154,1210
December 23, 2020,973,1040
December 24, 2020,956,1073
December 25, 2020,2058,2307
December 26, 2020,1385,1539
December 27, 2020,895,963
December 28, 2020,935,1024
December 29, 2020,1016,1057
December 30, 2020,794,917
December 31, 2020,658,727
January 1, 2021,1729,1979
January 2, 2021,2771,3077
January 3, 2021,1075,1209
January 4, 2021,1352,1566
January 5, 2021,1127,1314
January 6, 2021,1280,1417
January 7, 2021,1191,1275
January 8, 2021,1635,1832
January 9, 2021,2352,2580
January 10, 2021,1204,1287
January 11, 2021,1260,1419
January 12, 2021,1323,1424
January 13, 2021,1289,1392
January 14, 2021,938,967
January 15, 2021,1937,2222
January 16, 2021,3026,3459
January 17, 2021,1102,1187
January 18, 2021,1325,1403
January 19, 2021,1397,1585
January 20, 2021,1376,1488
January 21, 2021,1266,1386
January 22, 2021,1662,1891
January 23, 2021,2659,2980
January 24, 2021,2189,2556
January 25, 2021,1399,1565
January 26, 2021,1792,2061
January 27, 2021,1521,1721
January 28, 2021,1568,1758
January 29, 2021,2270,2685
January 30, 2021,3319,3868
January 31, 2021,1277,1393
February 1, 2021,1611,1702
February 2, 2021,1667,1865
February 3, 2021,1874,2158
February 4, 2021,1294,1468
February 5, 2021,2060,2256
February 6, 2021,3019,3503
February 7, 2021,1459,1618
February 8, 2021,1619,1836
February 9, 2021,1367,1486
February 10, 2021,1146,1198
February 11, 2021,1246,1384
February 12, 2021,727,842
February 13, 2021,2866,3341
February 14, 2021,1541,1762
February 15, 2021,1678,1840
February 16, 2021,1129,1088
February 17, 2021,1502,1603
February 18, 2021,1433,1634
February 19, 2021,1999,2256
February 20, 2021,3015,3572
February 21, 2021,1457,1583
February 22, 2021,1821,1906
February 23, 2021,1212,1266
February 24, 2021,1028,1215
February 25, 2021,847,872
February 26, 2021,1302,1538
February 27, 2021,2491,2899
February 28, 2021,1351,1469
March 1, 2021,1619,1715
March 2, 2021,1548,1734
March 3, 2021,1366,1459
March 4, 2021,1185,1411
March 5, 2021,1211,1457
March 6, 2021,2019,2209
March 7, 2021,1632,1813
March 8, 2021,1702,1817
March 9, 2021,1973,2168
March 10, 2021,1620,1769
March 11, 2021,1633,1822
March 12, 2021,2637,3011
March 13, 2021,3623,4007
March 14, 2021,1438,1608
March 15, 2021,1854,1994
March 16, 2021,1628,1882
March 17, 2021,1531,1431
March 18, 2021,1472,1224
March 19, 2021,2056,1864
March 20, 2021,3576,2980
March 21, 2021,1348,1320
March 22, 2021,1616,1486
March 23, 2021,1564,1296
March 24, 2021,1498,2034
March 25, 2021,1636,1888
March 26, 2021,2940,3177
March 27, 2021,3556,3957
March 28, 2021,1536,1636
March 29, 2021,1482,1641
March 30, 2021,1850,1947
March 31, 2021,1862,1987
April 1, 2021,2620,2881
April 2, 2021,2793,3092
April 3, 2021,2994,3311
April 4, 2021,1501,1648
April 5, 2021,1043,1087
April 6, 2021,1735,1807
April 7, 2021,1870,2003
April 8, 2021,1688,1828
April 9, 2021,3009,3345
April 10, 2021,4035,4480
April 11, 2021,1466,1575
April 12, 2021,1385,1530
April 13, 2021,1653,1854
April 14, 2021,1733,1991
April 15, 2021,1523,1752
April 16, 2021,2573,2937
April 17, 2021,3171,3476
April 18, 2021,1139,1240
April 19, 2021,1215,1351
April 20, 2021,3009,3246
April 21, 2021,1155,1228
April 22, 2021,1628,1824
April 23, 2021,2508,2667
April 24, 2021,3568,4114
April 25, 2021,1144,1207
April 26, 2021,1487,1576
April 27, 2021,1473,1657
April 28, 2021,1472,1591
April 29, 2021,1363,1481
April 30, 2021,2372,2656
May 1, 2021,3335,3652
May 2, 2021,1298,1481
May 3, 2021,1596,1745
May 4, 2021,1508,1710
May 5, 2021,1523,1795
May 6, 2021,1011,1128
May 7, 2021,1782,1950
May 8, 2021,1841,2148
May 9, 2021,1188,1403
May 10, 2021,1501,1705
May 11, 2021,1019,1001
May 12, 2021,1150,1277
May 13, 2021,1274,1429
May 14, 2021,1816,2052
May 15, 2021,2576,3101
May 16, 2021,1262,1395
May 17, 2021,1341,1490
May 18, 2021,1444,1664
May 19, 2021,1476,1669
May 20, 2021,1423,1537
May 21, 2021,846,971
May 22, 2021,2079,2505
May 23, 2021,1164,1327
May 24, 2021,1367,1585
May 25, 2021,1429,1606
May 26, 2021,1468,1623
May 27, 2021,1303,1505
May 28, 2021,1691,2007
May 29, 2021,2054,2358
May 30, 2021,913,1061
May 31, 2021,1439,1503
June 1, 2021,1380,1568
June 2, 2021,2199,2368
June 3, 2021,1418,1569
June 4, 2021,1928,2199
June 5, 2021,2686,3033
June 6, 2021,916,985
June 7, 2021,786,949
June 8, 2021,1359,1558
June 9, 2021,956,1008
June 10, 2021,995,1151
June 11, 2021,1743,2099
June 12, 2021,2623,2980
June 13, 2021,1171,1290
June 14, 2021,1270,1364
June 15, 2021,1234,1372
June 16, 2021,1088,1282
June 17, 2021,1139,1408
June 18, 2021,1234,1436
June 19, 2021,2392,2854
June 20, 2021,929,1060
June 21, 2021,863,997
June 22, 2021,1134,1311
June 23, 2021,1432,1539
June 24, 2021,1171,1304
June 25, 2021,1853,2111
June 26, 2021,3026,3459
June 27, 2021,1122,1186
June 28, 2021,880,1014
June 29, 2021,1009,1095
June 30, 2021,947,1055
July 1, 2021,1094,1233
July 2, 2021,1634,1852
July 3, 2021,2353,2549
July 4, 2021,1039,1096
July 5, 2021,1242,1378
July 6, 2021,1167,1288
July 7, 2021,1143,1265
July 8, 2021,1749,2029
July 9, 2021,1567,1801
July 10, 2021,2417,2904
July 11, 2021,1095,1294
July 12, 2021,1328,1472
July 13, 2021,1346,1426
July 14, 2021,1366,1509
July 15, 2021,1128,1268
July 16, 2021,1097,1372
July 17, 2021,2682,3241
July 18, 2021,1071,1188
July 19, 2021,1106,1226
July 20, 2021,1150,1307
July 21, 2021,1165,1337
July 22, 2021,1164,1297
July 23, 2021,1585,1821
July 24, 2021,2827,3251
July 25, 2021,1113,1222
July 26, 2021,1284,1436
July 27, 2021,369,495
July 28, 2021,883,1007
July 29, 2021,823,915
July 30, 2021,1071,1285
July 31, 2021,1588,1902
August 1, 2021,936,1039
August 2, 2021,988,1144
August 3, 2021,1185,1324
August 4, 2021,1184,1254
August 5, 2021,1113,1234
August 6, 2021,1461,1621
August 7, 2021,1886,2227
August 8, 2021,1220,1347
August 9, 2021,1433,1650
August 10, 2021,1214,1343
August 11, 2021,1085,1126
August 12, 2021,852,911
