Date,R. Vergueiro Bicicleta Bairro,R. Vergueiro Bicicleta Centro
September 30, 2016,726,725
October 1, 2016,829,859
October 2, 2016,366,399
October 3, 2016,714,691
October 4, 2016,858,923
October 5, 2016,830,827
October 6, 2016,752,755
October 7, 2016,921,897
October 8, 2016,994,1040
October 9, 2016,800,790
October 10, 2016,769,855
October 11, 2016,1023,1090
October 12, 2016,569,619
October 13, 2016,685,690
October 14, 2016,824,826
October 15, 2016,1054,1154
October 16, 2016,880,901
October 17, 2016,1115,1144
October 18, 2016,1021,1082
October 19, 2016,700,738
October 20, 2016,711,691
October 21, 2016,651,683
October 22, 2016,1030,1009
October 23, 2016,878,921
October 24, 2016,503,496
October 25, 2016,963,1031
October 26, 2016,911,879
October 27, 2016,938,995
October 28, 2016,800,758
October 29, 2016,942,939
October 30, 2016,908,971
October 31, 2016,1011,1113
November 1, 2016,930,1076
November 2, 2016,438,484
November 3, 2016,615,648
November 4, 2016,709,661
November 5, 2016,2772,2875
November 6, 2016,919,933
November 7, 2016,1079,1291
November 8, 2016,765,836
November 9, 2016,945,936
November 10, 2016,812,862
November 11, 2016,495,520
November 12, 2016,55,80
November 13, 2016,387,379
November 14, 2016,627,637
November 15, 2016,795,806
November 16, 2016,810,863
November 17, 2016,628,663
November 18, 2016,653,706
November 19, 2016,1075,1053
November 20, 2016,969,1038
November 21, 2016,1058,1048
November 22, 2016,726,710
November 23, 2016,1071,1180
November 24, 2016,838,826
November 25, 2016,837,808
November 26, 2016,1349,927
November 27, 2016,855,865
November 28, 2016,623,640
November 29, 2016,630,624
November 30, 2016,788,846
December 1, 2016,807,840
December 2, 2016,566,591
December 3, 2016,786,808
December 4, 2016,875,928
December 5, 2016,1169,1296
December 6, 2016,868,894
December 7, 2016,954,954
December 8, 2016,781,835
December 9, 2016,631,655
December 10, 2016,466,590
December 11, 2016,563,558
December 12, 2016,987,1162
December 13, 2016,765,800
December 14, 2016,638,657
December 15, 2016,712,741
December 16, 2016,674,860
December 17, 2016,834,898
December 18, 2016,734,767
December 19, 2016,829,881
December 20, 2016,674,671
December 21, 2016,826,864
December 22, 2016,616,632
December 23, 2016,574,592
December 24, 2016,448,507
December 25, 2016,787,884
December 26, 2016,779,815
December 27, 2016,728,766
December 28, 2016,679,722
December 29, 2016,675,655
December 30, 2016,500,543
December 31, 2016,886,851
January 1, 2017,450,461
January 2, 2017,625,633
January 3, 2017,915,927
January 4, 2017,874,975
January 5, 2017,610,677
January 6, 2017,627,612
January 7, 2017,1152,1387
January 8, 2017,709,777
January 9, 2017,1067,1138
January 10, 2017,778,799
January 11, 2017,805,869
January 12, 2017,834,867
January 13, 2017,837,838
January 14, 2017,862,1062
January 15, 2017,648,667
January 16, 2017,593,598
January 17, 2017,395,416
January 18, 2017,407,447
January 19, 2017,258,270
January 20, 2017,255,270
January 21, 2017,343,412
January 22, 2017,700,720
January 23, 2017,830,947
January 24, 2017,1081,1162
January 25, 2017,174,305
January 26, 2017,0,0
January 27, 2017,0,0
January 28, 2017,0,0
January 29, 2017,0,0
January 30, 2017,0,0
January 31, 2017,0,0
February 1, 2017,579,477
February 2, 2017,737,790
February 3, 2017,690,713
February 4, 2017,1142,1233
February 5, 2017,701,726
February 6, 2017,955,967
February 7, 2017,1165,1133
February 8, 2017,1042,1157
February 9, 2017,922,1033
February 10, 2017,902,816
February 11, 2017,916,974
February 12, 2017,1046,1093
February 13, 2017,1201,1266
February 14, 2017,1061,1169
February 15, 2017,1144,1094
February 16, 2017,985,1016
February 17, 2017,805,821
February 18, 2017,837,820
February 19, 2017,992,1063
February 20, 2017,1240,1245
February 21, 2017,436,663
February 22, 2017,0,0
February 23, 2017,390,271
February 24, 2017,642,629
February 25, 2017,570,686
February 26, 2017,775,702
February 27, 2017,1501,1514
February 28, 2017,816,782
March 1, 2017,887,910
March 2, 2017,667,707
March 3, 2017,863,817
March 4, 2017,669,730
March 5, 2017,617,647
March 6, 2017,747,776
March 7, 2017,850,884
March 8, 2017,916,797
March 9, 2017,825,846
March 10, 2017,810,867
March 11, 2017,993,1065
March 12, 2017,746,774
March 13, 2017,887,872
March 14, 2017,1573,1652
March 15, 2017,1194,1215
March 16, 2017,717,716
March 17, 2017,546,530
March 18, 2017,494,484
March 19, 2017,899,887
March 20, 2017,1069,1112
March 21, 2017,1125,1188
March 22, 2017,955,1091
March 23, 2017,953,996
March 24, 2017,805,794
March 25, 2017,887,953
March 26, 2017,814,849
March 27, 2017,951,1055
March 28, 2017,979,1010
March 29, 2017,1046,1099
March 30, 2017,857,879
March 31, 2017,715,711
April 1, 2017,830,919
April 2, 2017,998,1013
April 3, 2017,1211,1242
April 4, 2017,1096,1092
April 5, 2017,423,408
April 6, 2017,468,507
April 7, 2017,624,645
April 8, 2017,824,926
April 9, 2017,860,903
April 10, 2017,1097,1245
April 11, 2017,497,506
April 12, 2017,667,726
April 13, 2017,538,554
April 14, 2017,745,779
April 15, 2017,672,763
April 16, 2017,595,644
April 17, 2017,888,948
April 18, 2017,916,969
April 19, 2017,920,990
April 20, 2017,431,432
April 21, 2017,485,516
April 22, 2017,593,671
April 23, 2017,897,951
April 24, 2017,1066,1098
April 25, 2017,527,570
April 26, 2017,632,660
April 27, 2017,1215,1315
April 28, 2017,601,593
April 29, 2017,750,758
April 30, 2017,849,908
May 1, 2017,944,905
May 2, 2017,980,1049
May 3, 2017,1115,1101
May 4, 2017,359,314
May 5, 2017,601,653
May 6, 2017,671,702
May 7, 2017,956,1013
May 8, 2017,1067,1183
May 9, 2017,984,993
May 10, 2017,897,885
May 11, 2017,928,905
May 12, 2017,859,838
May 13, 2017,491,544
May 14, 2017,973,1022
May 15, 2017,1087,1099
May 16, 2017,887,918
May 17, 2017,661,637
May 18, 2017,203,213
May 19, 2017,604,645
May 20, 2017,123,163
May 21, 2017,506,571
May 22, 2017,972,1138
May 23, 2017,882,939
May 24, 2017,1055,1051
May 25, 2017,904,930
May 26, 2017,703,728
May 27, 2017,724,746
May 28, 2017,966,1018
May 29, 2017,801,863
May 30, 2017,986,1042
May 31, 2017,901,942
June 1, 2017,811,842
June 2, 2017,702,711
June 3, 2017,835,887
June 4, 2017,368,417
June 5, 2017,495,527
June 6, 2017,755,831
June 7, 2017,1024,1072
June 8, 2017,666,692
June 9, 2017,680,700
June 10, 2017,835,844
June 11, 2017,711,721
June 12, 2017,260,260
June 13, 2017,678,725
June 14, 2017,575,621
June 15, 2017,628,644
June 16, 2017,706,695
June 17, 2017,646,545
June 18, 2017,749,809
June 19, 2017,541,572
June 20, 2017,654,730
June 21, 2017,891,871
June 22, 2017,812,826
