Date,R. Vergueiro Bicicleta Bairro,R. Vergueiro Bicicleta Centro
January 13, 2019,1074,1083
January 14, 2019,1349,1345
January 15, 2019,1081,1133
January 16, 2019,918,990
January 17, 2019,1013,1010
January 18, 2019,811,909
January 19, 2019,750,804
January 20, 2019,1121,1235
January 21, 2019,1310,1371
January 22, 2019,1230,1291
January 23, 2019,1084,1097
January 24, 2019,438,442
January 25, 2019,793,777
January 26, 2019,953,977
January 27, 2019,1200,1279
January 28, 2019,1386,1483
January 29, 2019,1228,1335
January 30, 2019,1236,1330
January 31, 2019,1147,1183
February 1, 2019,830,893
February 2, 2019,842,808
February 3, 2019,525,560
February 4, 2019,1159,1176
February 5, 2019,344,352
February 6, 2019,1177,1198
February 7, 2019,1187,1234
February 8, 2019,934,994
February 9, 2019,923,913
February 10, 2019,1136,1201
February 11, 2019,932,1002
February 12, 2019,680,682
February 13, 2019,1186,1302
February 14, 2019,676,738
February 15, 2019,311,330
February 16, 2019,607,657
February 17, 2019,1176,1227
February 18, 2019,1468,1486
February 19, 2019,1208,1179
February 20, 2019,856,903
February 21, 2019,860,919
February 22, 2019,877,874
February 23, 2019,2176,2120
February 24, 2019,1075,1116
February 25, 2019,591,612
February 26, 2019,1074,1053
February 27, 2019,494,520
February 28, 2019,675,705
March 1, 2019,639,650
March 2, 2019,1277,1305
March 3, 2019,748,751
March 4, 2019,1061,1007
March 5, 2019,838,814
March 6, 2019,965,981
March 7, 2019,1179,1157
March 8, 2019,618,699
March 9, 2019,1876,1762
March 10, 2019,776,733
March 11, 2019,1125,1150
March 12, 2019,1218,1183
March 13, 2019,980,1046
March 14, 2019,859,892
March 15, 2019,864,891
March 16, 2019,403,497
March 17, 2019,1272,1300
March 18, 2019,1114,1133
March 19, 2019,1231,1158
March 20, 2019,505,520
March 21, 2019,1087,1067
March 22, 2019,961,988
March 23, 2019,786,834
March 24, 2019,1360,1372
March 25, 2019,1422,1428
March 26, 2019,1279,1298
March 27, 2019,1136,1230
March 28, 2019,1124,1135
March 29, 2019,929,945
March 30, 2019,811,890
March 31, 2019,1307,1271
April 1, 2019,1444,1487
April 2, 2019,1428,1344
April 3, 2019,1404,1379
April 4, 2019,1234,1245
April 5, 2019,640,643
April 6, 2019,565,632
April 7, 2019,333,355
April 8, 2019,484,502
April 9, 2019,1015,971
April 10, 2019,1233,1252
April 11, 2019,1141,1163
April 12, 2019,950,1009
April 13, 2019,315,350
April 14, 2019,1144,1144
April 15, 2019,1203,1235
April 16, 2019,1287,1325
April 17, 2019,1199,1187
April 18, 2019,664,693
April 19, 2019,880,909
April 20, 2019,533,664
April 21, 2019,1183,1215
April 22, 2019,1139,1205
April 23, 2019,1279,1342
April 24, 2019,1201,1273
April 25, 2019,985,995
April 26, 2019,966,976
April 27, 2019,559,627
April 28, 2019,1110,1161
April 29, 2019,1372,1500
April 30, 2019,910,955
May 1, 2019,1233,1357
May 2, 2019,1252,1248
May 3, 2019,963,1035
May 4, 2019,853,778
May 5, 2019,1238,1293
May 6, 2019,998,1069
May 7, 2019,1106,1098
May 8, 2019,1253,1247
May 9, 2019,1129,1196
May 10, 2019,799,830
May 11, 2019,417,511
May 12, 2019,1298,1267
May 13, 2019,1173,1224
May 14, 2019,1092,1167
May 15, 2019,739,750
May 16, 2019,687,703
May 17, 2019,382,425
May 18, 2019,730,590
May 19, 2019,1174,1168
May 20, 2019,1419,1445
May 21, 2019,1223,1281
May 22, 2019,1326,1307
May 23, 2019,792,850
May 24, 2019,853,821
May 25, 2019,701,715
May 26, 2019,1233,1255
May 27, 2019,1435,1408
May 28, 2019,1092,1128
May 29, 2019,1105,1185
May 30, 2019,1105,1205
May 31, 2019,699,700
June 1, 2019,188,211
June 2, 2019,649,593
June 3, 2019,1058,1010
June 4, 2019,802,814
June 5, 2019,1108,1130
June 6, 2019,1062,1137
June 7, 2019,805,880
June 8, 2019,667,699
June 9, 2019,1177,1193
June 10, 2019,1255,1296
June 11, 2019,1120,1161
June 12, 2019,1227,1309
June 13, 2019,1572,1644
June 14, 2019,938,955
June 15, 2019,862,822
June 16, 2019,1172,1224
June 17, 2019,1341,1344
June 18, 2019,1188,1234
June 19, 2019,669,647
June 20, 2019,867,842
June 21, 2019,805,847
June 22, 2019,579,491
June 23, 2019,1148,1171
June 24, 2019,1389,1466
June 25, 2019,1193,1257
June 26, 2019,1192,1149
June 27, 2019,1094,1241
June 28, 2019,975,1006
June 29, 2019,748,806
June 30, 2019,1232,1198
July 1, 2019,1311,1319
July 2, 2019,1249,1371
July 3, 2019,208,213
July 4, 2019,394,416
July 5, 2019,580,681
July 6, 2019,352,381
July 7, 2019,758,802
July 8, 2019,648,659
July 9, 2019,892,973
July 10, 2019,1094,1215
July 11, 2019,1044,1082
July 12, 2019,871,904
July 13, 2019,808,802
July 14, 2019,1062,1069
July 15, 2019,770,885
July 16, 2019,882,921
July 17, 2019,974,1046
July 18, 2019,887,967
July 19, 2019,801,835
July 20, 2019,674,687
July 21, 2019,1081,1148
July 22, 2019,1229,1348
July 23, 2019,1145,1215
July 24, 2019,1165,1242
July 25, 2019,1122,1158
July 26, 2019,846,883
July 27, 2019,710,711
July 28, 2019,1105,1164
July 29, 2019,1123,1166
July 30, 2019,1169,1330
July 31, 2019,1252,1381
August 1, 2019,913,1001
August 2, 2019,449,474
August 3, 2019,283,315
August 4, 2019,913,909
August 5, 2019,1105,1235
August 6, 2019,1155,1248
August 7, 2019,1270,1430
August 8, 2019,1151,1191
August 9, 2019,938,975
August 10, 2019,599,695
August 11, 2019,1254,1274
August 12, 2019,1035,1112
August 13, 2019,757,809
August 14, 2019,1075,1202
August 15, 2019,1009,1123
August 16, 2019,965,1020
August 17, 2019,766,852
August 18, 2019,638,663
August 19, 2019,852,876
August 20, 2019,1011,1079
August 21, 2019,984,1076
August 22, 2019,860,995
August 23, 2019,666,698
August 24, 2019,619,589
August 25, 2019,1080,1151
August 26, 2019,1217,1290
August 27, 2019,1128,1174
August 28, 2019,1273,1424
August 29, 2019,1190,1235
August 30, 2019,917,960
August 31, 2019,891,896
September 1, 2019,595,650
September 2, 2019,730,828
September 3, 2019,824,805
September 4, 2019,587,619
September 5, 2019,689,777
September 6, 2019,818,934
September 7, 2019,2019,2105
September 8, 2019,1207,1275
September 9, 2019,1381,1488
September 10, 2019,1329,1430
September 11, 2019,1251,1312
September 12, 2019,949,1077
September 13, 2019,807,924
September 14, 2019,1944,1955
September 15, 2019,1215,1280
September 16, 2019,1450,1515
September 17, 2019,1306,1298
September 18, 2019,1168,1250
September 19, 2019,888,963
September 20, 2019,727,760
September 21, 2019,935,925
September 22, 2019,799,835
September 23, 2019,1077,1151
September 24, 2019,700,764
September 25, 2019,896,903
September 26, 2019,930,1034
September 27, 2019,734,761
September 28, 2019,1875,1946
September 29, 2019,1204,1265
September 30, 2019,1436,1510
October 1, 2019,1299,1391
October 2, 2019,1338,1361
October 3, 2019,1167,1230
October 4, 2019,845,874
October 5, 2019,1727,1780
October 6, 2019,842,848
October 7, 2019,679,762
October 8, 2019,890,964
October 9, 2019,1106,1191
October 10, 2019,1120,1235
October 11, 2019,925,1057
October 12, 2019,1814,1803
October 13, 2019,1124,1192
October 14, 2019,1148,1287
October 15, 2019,1069,1116
October 16, 2019,1241,1366
October 17, 2019,947,970
October 18, 2019,856,892
October 19, 2019,1361,1412
October 20, 2019,918,995
October 21, 2019,1339,1409
October 22, 2019,1247,1344
October 23, 2019,1301,1471
October 24, 2019,1187,1240
October 25, 2019,838,904
October 26, 2019,1877,1883
October 27, 2019,1043,1196
October 28, 2019,1432,1462
October 29, 2019,1239,1328
October 30, 2019,1319,1369
October 31, 2019,1136,1195
November 1, 2019,941,1022
November 2, 2019,1692,1877
November 3, 2019,1200,1221
November 4, 2019,788,900
November 5, 2019,842,861
November 6, 2019,996,1012
November 7, 2019,836,910
November 8, 2019,865,903
November 9, 2019,1379,1468
November 10, 2019,953,958
November 11, 2019,1237,1291
November 12, 2019,1170,1261
November 13, 2019,641,699
November 14, 2019,410,452
November 15, 2019,968,999
November 16, 2019,1843,1868
November 17, 2019,1094,1099
November 18, 2019,1243,1311
November 19, 2019,1479,1629
November 20, 2019,1199,1355
November 21, 2019,1060,1146
November 22, 2019,664,753
November 23, 2019,1210,1308
November 24, 2019,1063,1136
November 25, 2019,1311,1448
November 26, 2019,861,952
November 27, 2019,459,518
November 28, 2019,1007,1041
November 29, 2019,798,849
November 30, 2019,1687,1635
December 1, 2019,779,873
December 2, 2019,1111,1247
December 3, 2019,1108,1151
December 4, 2019,866,959
December 5, 2019,823,921
December 6, 2019,902,1036
December 7, 2019,1645,1765
December 8, 2019,899,970
December 9, 2019,729,835
December 10, 2019,678,752
December 11, 2019,1012,1078
December 12, 2019,982,1040
December 13, 2019,684,745
December 14, 2019,1666,1782
December 15, 2019,1088,1161
December 16, 2019,967,1005
December 17, 2019,557,581
December 18, 2019,959,1061
December 19, 2019,877,979
December 20, 2019,765,878
December 21, 2019,1390,1476
December 22, 2019,494,538
December 23, 2019,695,758
December 24, 2019,632,694
December 25, 2019,786,940
December 26, 2019,822,876
December 27, 2019,786,878
December 28, 2019,1431,1501
December 29, 2019,737,758
December 30, 2019,513,629
December 31, 2019,431,502
January 1, 2020,402,426
January 2, 2020,571,616
January 3, 2020,635,740
January 4, 2020,1193,1294
January 5, 2020,1072,1111
January 6, 2020,1102,1186
January 7, 2020,808,851
January 8, 2020,948,1000
January 9, 2020,1061,1127
January 10, 2020,831,983
January 11, 2020,1512,1577
January 12, 2020,924,997
January 13, 2020,1239,1362
January 14, 2020,1285,1370
January 15, 2020,941,1064
January 16, 2020,751,741
January 17, 2020,881,958
January 18, 2020,1668,1889
January 19, 2020,1070,1156
January 20, 2020,1395,1500
January 21, 2020,1110,1188
January 22, 2020,771,866
January 23, 2020,587,624
January 24, 2020,958,1037
January 25, 2020,1787,1857
January 26, 2020,1271,1343
January 27, 2020,1057,1148
January 28, 2020,1318,1359
January 29, 2020,939,1094
January 30, 2020,1124,1189
January 31, 2020,583,675
February 1, 2020,1190,1274
February 2, 2020,393,451
February 3, 2020,1008,1099
February 4, 2020,957,1008
February 5, 2020,1024,1167
February 6, 2020,1024,1138
February 7, 2020,924,997
February 8, 2020,1655,1755
February 9, 2020,281,281
February 10, 2020,760,798
February 11, 2020,855,926
February 12, 2020,1015,1063
February 13, 2020,1130,1228
February 14, 2020,888,1034
February 15, 2020,1397,1681
February 16, 2020,1173,1190
February 17, 2020,1107,1215
February 18, 2020,1016,1063
February 19, 2020,1065,1109
February 20, 2020,838,842
February 21, 2020,590,650
February 22, 2020,1164,1232
February 23, 2020,624,678
February 24, 2020,976,1011
February 25, 2020,404,430
February 26, 2020,681,689
February 27, 2020,746,796
February 28, 2020,676,756
February 29, 2020,1024,1155
March 1, 2020,692,758
March 2, 2020,814,864
March 3, 2020,1238,1264
March 4, 2020,1308,1354
March 5, 2020,1224,1283
March 6, 2020,982,1059
March 7, 2020,1455,1607
March 8, 2020,1298,1352
March 9, 2020,1570,1745
March 10, 2020,1515,1632
March 11, 2020,1606,1638
March 12, 2020,1360,1536
March 13, 2020,1163,1292
March 14, 2020,1793,1921
March 15, 2020,1222,1366
March 16, 2020,1243,1341
March 17, 2020,1279,1447
March 18, 2020,1035,1180
March 19, 2020,948,1021
March 20, 2020,665,844
March 21, 2020,1066,1206
March 22, 2020,805,864
March 23, 2020,814,866
March 24, 2020,836,966
March 25, 2020,975,1024
March 26, 2020,997,1089
March 27, 2020,1137,1270
March 28, 2020,1097,1257
March 29, 2020,861,945
March 30, 2020,1049,1184
March 31, 2020,1121,1237
April 1, 2020,1114,1271
April 2, 2020,961,1051
April 3, 2020,1356,1552
April 4, 2020,1796,2057
April 5, 2020,1008,1152
April 6, 2020,783,863
April 7, 2020,862,946
April 8, 2020,1129,1189
April 9, 2020,1314,1492
April 10, 2020,1168,1354
April 11, 2020,1277,1530
April 12, 2020,920,1080
April 13, 2020,1030,1116
April 14, 2020,1118,1269
April 15, 2020,1103,1219
April 16, 2020,961,1072
April 17, 2020,1172,1412
April 18, 2020,1762,2023
April 19, 2020,1045,1127
April 20, 2020,1755,2083
April 21, 2020,1014,1166
April 22, 2020,1187,1302
April 23, 2020,1147,1229
April 24, 2020,1474,1739
April 25, 2020,2063,2378
April 26, 2020,1079,1130
April 27, 2020,1248,1377
April 28, 2020,1300,1399
April 29, 2020,1132,1287
April 30, 2020,1583,1885
May 1, 2020,1107,1193
May 2, 2020,1821,2066
May 3, 2020,906,989
May 4, 2020,1158,1332
May 5, 2020,777,860
May 6, 2020,555,646
May 7, 2020,818,935
May 8, 2020,1290,1538
May 9, 2020,1433,1576
May 10, 2020,1097,1217
May 11, 2020,1311,1478
May 12, 2020,1163,1323
May 13, 2020,689,829
May 14, 2020,889,965
May 15, 2020,1553,1768
May 16, 2020,2075,2396
May 17, 2020,947,1098
May 18, 2020,1204,1309
May 19, 2020,1423,1545
May 20, 2020,1439,1676
May 21, 2020,1124,1280
May 22, 2020,864,1015
May 23, 2020,1367,1585
May 24, 2020,1039,1216
May 25, 2020,1045,1163
May 26, 2020,1013,1250
May 27, 2020,1042,1223
May 28, 2020,1081,1238
May 29, 2020,1547,1785
May 30, 2020,2137,2425
May 31, 2020,1112,1229
June 1, 2020,650,755
June 2, 2020,994,1193
June 3, 2020,906,991
June 4, 2020,1030,1163
June 5, 2020,1318,1597
June 6, 2020,2076,2507
June 7, 2020,1188,1376
June 8, 2020,1298,1477
June 9, 2020,1302,1579
June 10, 2020,1713,2033
June 11, 2020,1102,1340
June 12, 2020,1860,2050
June 13, 2020,1035,1144
June 14, 2020,1061,1190
June 15, 2020,1427,1554
June 16, 2020,1444,1618
June 17, 2020,1474,1691
June 18, 2020,1417,1597
June 19, 2020,1872,2215
June 20, 2020,2697,3202
June 21, 2020,1296,1494
June 22, 2020,1710,1965
June 23, 2020,1599,1902
June 24, 2020,1714,1933
June 25, 2020,862,916
June 26, 2020,560,524
June 27, 2020,1572,1710
June 28, 2020,1080,1197
June 29, 2020,1521,1667
June 30, 2020,1047,1277
July 1, 2020,1512,1851
July 2, 2020,1150,1402
July 3, 2020,1822,2035
July 4, 2020,2713,3195
July 5, 2020,1207,1361
July 6, 2020,1720,2015
July 7, 2020,1619,1851
July 8, 2020,1691,1890
July 9, 2020,1435,1715
July 10, 2020,2052,2085
July 11, 2020,3053,3439
July 12, 2020,1392,1632
July 13, 2020,1238,1387
July 14, 2020,1142,1251
July 15, 2020,1457,1795
July 16, 2020,1410,1571
July 17, 2020,1892,2108
July 18, 2020,1254,1615
July 19, 2020,1398,1570
July 20, 2020,1856,2182
July 21, 2020,1592,1792
July 22, 2020,1708,2009
July 23, 2020,1512,1782
July 24, 2020,2063,2108
July 25, 2020,1022,1366
July 26, 2020,1549,1674
July 27, 2020,1922,2127
July 28, 2020,994,1088
July 29, 2020,913,1017
July 30, 2020,1206,1304
July 31, 2020,1695,1887
August 1, 2020,1246,1571
August 2, 2020,1370,1501
August 3, 2020,1772,1964
August 4, 2020,1468,1573
August 5, 2020,1766,1967
August 6, 2020,1432,1575
August 7, 2020,1831,2018
August 8, 2020,1009,1204
August 9, 2020,1497,1660
August 10, 2020,1876,2176
August 11, 2020,1657,1872
August 12, 2020,1587,1760
August 13, 2020,1678,1792
August 14, 2020,1427,1526
August 15, 2020,631,685
August 16, 2020,678,741
August 17, 2020,944,1127
August 18, 2020,1175,1318
August 19, 2020,651,709
August 20, 2020,234,251
August 21, 2020,539,573
August 22, 2020,793,1048
August 23, 2020,1119,1277
August 24, 2020,1416,1644
August 25, 2020,1353,1600
August 26, 2020,1617,1966
August 27, 2020,1331,1571
August 28, 2020,2121,2235
August 29, 2020,1423,1502
August 30, 2020,1172,1387
August 31, 2020,1461,1677
September 1, 2020,1682,1902
September 2, 2020,1733,2097
September 3, 2020,1470,1677
September 4, 2020,2012,2230
September 5, 2020,1293,1588
September 6, 2020,1302,1529
September 7, 2020,1466,1625
September 8, 2020,1571,1795
September 9, 2020,1781,2125
September 10, 2020,1488,1654
September 11, 2020,1964,2231
September 12, 2020,1413,1675
September 13, 2020,1280,1408
September 14, 2020,1434,1641
September 15, 2020,1625,1827
September 16, 2020,1607,1854
September 17, 2020,1425,1575
September 18, 2020,2273,2500
September 19, 2020,735,817
September 20, 2020,613,664
September 21, 2020,535,622
September 22, 2020,1406,1516
September 23, 2020,1693,2001
September 24, 2020,1597,1764
September 25, 2020,2212,2352
September 26, 2020,1419,1695
September 27, 2020,1322,1403
September 28, 2020,1629,1820
September 29, 2020,1629,1832
September 30, 2020,1831,2197
October 1, 2020,1490,1621
October 2, 2020,1810,1983
October 3, 2020,957,1206
October 4, 2020,1494,1684
October 5, 2020,1831,2056
October 6, 2020,1743,1950
October 7, 2020,1066,1306
October 8, 2020,402,461
October 9, 2020,1834,2100
October 10, 2020,1187,1346
October 11, 2020,1250,1463
October 12, 2020,1593,1796
October 13, 2020,1713,1918
October 14, 2020,775,857
October 15, 2020,810,902
October 16, 2020,1619,1661
October 17, 2020,1281,1499
October 18, 2020,848,945
October 19, 2020,1280,1319
October 20, 2020,1553,1691
October 21, 2020,1667,2011
October 22, 2020,1546,1685
October 23, 2020,1751,1827
October 24, 2020,876,1066
October 25, 2020,1537,1696
October 26, 2020,1947,2300
October 27, 2020,1852,2100
October 28, 2020,1156,1311
October 29, 2020,296,292
October 30, 2020,1785,1924
October 31, 2020,1107,1304
November 1, 2020,1307,1476
November 2, 2020,1690,1897
November 3, 2020,1745,1948
November 4, 2020,1188,1301
November 5, 2020,1394,1532
November 6, 2020,1755,1910
November 7, 2020,1246,1412
November 8, 2020,1112,1231
November 9, 2020,1322,1615
November 10, 2020,1734,1944
November 11, 2020,1220,1394
November 12, 2020,1035,1138
November 13, 2020,1766,1867
November 14, 2020,1160,1352
November 15, 2020,1237,1368
November 16, 2020,1591,1818
November 17, 2020,1743,1947
November 18, 2020,1321,1526
November 19, 2020,1084,1194
November 20, 2020,1791,1909
November 21, 2020,1129,1311
November 22, 2020,1318,1456
November 23, 2020,1659,1933
November 24, 2020,1786,2000
November 25, 2020,1243,1404
November 26, 2020,982,1075
November 27, 2020,1802,1928
November 28, 2020,1185,1378
November 29, 2020,1267,1403
November 30, 2020,1584,1842
December 1, 2020,1757,1978
December 2, 2020,1263,1426
December 3, 2020,1135,1245
December 4, 2020,1423,1538
December 5, 2020,713,811
December 6, 2020,918,1092
December 7, 2020,1048,1202
December 8, 2020,1495,1740
December 9, 2020,1638,1818
December 10, 2020,1189,1295
December 11, 2020,1691,1818
December 12, 2020,1033,1099
December 13, 2020,1454,1587
December 14, 2020,1157,1304
December 15, 2020,1488,1744
December 16, 2020,1148,1272
December 17, 2020,1178,1216
December 18, 2020,1643,1757
December 19, 2020,774,907
December 20, 2020,945,1067
December 21, 2020,1047,1193
December 22, 2020,1078,1207
December 23, 2020,1015,1147
December 24, 2020,1150,1246
December 25, 2020,2025,2126
December 26, 2020,744,808
December 27, 2020,945,988
December 28, 2020,1000,1001
December 29, 2020,1378,1432
December 30, 2020,1059,1134
December 31, 2020,993,1111
January 1, 2021,2002,2090
January 2, 2021,1248,1342
January 3, 2021,1257,1402
January 4, 2021,1718,1841
January 5, 2021,1365,1520
January 6, 2021,1460,1652
January 7, 2021,1289,1396
January 8, 2021,1551,1696
January 9, 2021,640,805
January 10, 2021,1386,1423
January 11, 2021,1527,1600
January 12, 2021,1467,1619
January 13, 2021,1482,1666
January 14, 2021,831,937
January 15, 2021,1942,2104
January 16, 2021,1225,1396
January 17, 2021,1269,1310
January 18, 2021,1404,1596
January 19, 2021,1675,1825
January 20, 2021,1633,1802
January 21, 2021,1458,1619
January 22, 2021,2222,2153
January 23, 2021,3695,2290
January 24, 2021,3821,2210
January 25, 2021,2053,1986
January 26, 2021,1497,1632
January 27, 2021,1434,1601
January 28, 2021,1167,1296
January 29, 2021,1964,2051
January 30, 2021,1735,1490
January 31, 2021,1963,1622
February 1, 2021,1706,1790
February 2, 2021,1520,1674
February 3, 2021,1522,1707
February 4, 2021,1200,1329
February 5, 2021,1945,2031
February 6, 2021,1842,1529
February 7, 2021,2136,1667
February 8, 2021,1694,1767
February 9, 2021,1557,1708
February 10, 2021,1539,1720
February 11, 2021,1178,1313
February 12, 2021,2035,2103
February 13, 2021,2139,1704
February 14, 2021,2322,1733
February 15, 2021,1739,1820
February 16, 2021,1579,1731
February 17, 2021,1554,1731
February 18, 2021,1264,1406
February 19, 2021,2064,2113
February 20, 2021,2366,1772
February 21, 2021,2581,1839
February 22, 2021,1814,1864
February 23, 2021,1550,1705
February 24, 2021,1556,1525
February 25, 2021,1131,1547
February 26, 2021,1340,1499
February 27, 2021,1026,1452
February 28, 2021,1287,1533
March 1, 2021,1564,1720
March 2, 2021,1326,1549
March 3, 2021,1297,1516
March 4, 2021,1149,1317
March 5, 2021,923,890
March 6, 2021,628,725
March 7, 2021,1704,1733
March 8, 2021,1847,1828
March 9, 2021,2196,2304
March 10, 2021,1745,1826
March 11, 2021,1815,1855
March 12, 2021,2637,2773
March 13, 2021,1345,1440
March 14, 2021,1735,1761
March 15, 2021,2075,2164
March 16, 2021,1960,2005
March 17, 2021,1121,1185
March 18, 2021,1393,1473
March 19, 2021,2725,2805
March 20, 2021,1507,1633
March 21, 2021,1691,1729
March 22, 2021,2098,2300
March 23, 2021,2157,2289
March 24, 2021,2077,2182
March 25, 2021,2022,2068
March 26, 2021,2638,2600
March 27, 2021,3942,4100
March 28, 2021,1744,1850
March 29, 2021,1682,1708
March 30, 2021,2148,2363
March 31, 2021,2115,2244
April 1, 2021,2838,2938
April 2, 2021,2908,3033
April 3, 2021,3514,3719
April 4, 2021,1799,1899
April 5, 2021,999,1099
April 6, 2021,2036,2166
April 7, 2021,2015,2218
April 8, 2021,2013,2100
April 9, 2021,2685,2691
April 10, 2021,4632,4736
April 11, 2021,1655,1739
April 12, 2021,1621,1767
April 13, 2021,1973,2113
April 14, 2021,2131,2138
April 15, 2021,1856,1986
April 16, 2021,2480,2592
April 17, 2021,3637,3805
April 18, 2021,1114,1141
April 19, 2021,1594,1668
April 20, 2021,3343,3386
April 21, 2021,1236,1274
April 22, 2021,1871,2002
April 23, 2021,2368,2474
April 24, 2021,1353,1490
April 25, 2021,1321,1336
April 26, 2021,1625,1776
April 27, 2021,1755,1934
April 28, 2021,1676,1724
April 29, 2021,1489,1614
April 30, 2021,1081,1119
May 1, 2021,1318,1484
May 2, 2021,1420,1496
May 3, 2021,1979,1986
May 4, 2021,1725,1814
May 5, 2021,1791,1960
May 6, 2021,1032,1110
May 7, 2021,1743,1746
May 8, 2021,840,895
May 9, 2021,1449,1472
May 10, 2021,1863,1997
May 11, 2021,916,983
May 12, 2021,1332,1335
May 13, 2021,1296,1393
May 14, 2021,1653,1799
May 15, 2021,970,1158
May 16, 2021,1386,1492
May 17, 2021,1591,1737
May 18, 2021,1806,1897
May 19, 2021,1736,1798
May 20, 2021,1497,1644
May 21, 2021,972,1006
May 22, 2021,741,961
May 23, 2021,1408,1453
May 24, 2021,1684,1783
May 25, 2021,1552,1649
May 26, 2021,1661,1806
May 27, 2021,1616,1691
May 28, 2021,1846,2163
May 29, 2021,533,669
May 30, 2021,909,913
May 31, 2021,1680,1719
June 1, 2021,1582,1764
June 2, 2021,2286,2406
June 3, 2021,1446,1632
June 4, 2021,1913,2038
June 5, 2021,1007,1164
June 6, 2021,833,921
June 7, 2021,835,900
June 8, 2021,1473,1643
June 9, 2021,933,1028
June 10, 2021,991,1105
June 11, 2021,1666,1708
June 12, 2021,941,1067
June 13, 2021,1229,1286
June 14, 2021,1534,1644
June 15, 2021,1339,1404
June 16, 2021,1242,1310
June 17, 2021,1211,1326
June 18, 2021,1304,1396
June 19, 2021,970,1077
June 20, 2021,907,935
June 21, 2021,1013,991
June 22, 2021,1258,1330
June 23, 2021,1596,1629
June 24, 2021,1309,1451
June 25, 2021,1904,2043
June 26, 2021,1102,1170
June 27, 2021,1163,1256
June 28, 2021,905,990
June 29, 2021,1027,1113
June 30, 2021,1031,1109
July 1, 2021,1112,1196
July 2, 2021,1650,1675
July 3, 2021,832,907
July 4, 2021,1072,1130
July 5, 2021,1274,1319
July 6, 2021,1223,1278
July 7, 2021,1262,1366
July 8, 2021,929,992
July 9, 2021,1487,1564
July 10, 2021,962,1004
July 11, 2021,1183,1268
July 12, 2021,1601,1682
July 13, 2021,1479,1584
July 14, 2021,1636,1744
July 15, 2021,1141,1205
July 16, 2021,1178,1218
July 17, 2021,1035,1197
July 18, 2021,1040,1110
July 19, 2021,1188,1213
July 20, 2021,1206,1211
July 21, 2021,1260,1345
July 22, 2021,1188,1275
July 23, 2021,1519,1613
July 24, 2021,1041,1166
July 25, 2021,1344,1314
July 26, 2021,1482,1589
July 27, 2021,323,360
July 28, 2021,1076,1212
July 29, 2021,781,812
July 30, 2021,1044,1134
July 31, 2021,693,727
August 1, 2021,985,1025
August 2, 2021,977,1046
August 3, 2021,1061,1101
August 4, 2021,1163,1273
August 5, 2021,1087,1148
August 6, 2021,1445,1567
August 7, 2021,839,950
August 8, 2021,1386,1391
August 9, 2021,1584,1666
August 10, 2021,1181,1200
August 11, 2021,983,1102
August 12, 2021,707,764
August 13, 2021,1224,1266
August 14, 2021,1012,1067
August 15, 2021,907,974
August 16, 2021,1564,1667
August 17, 2021,1619,1608
August 18, 2021,1662,1788
August 19, 2021,1442,1556
August 20, 2021,1708,1688
August 21, 2021,1101,1235
August 22, 2021,1391,1394
August 23, 2021,1797,1844
August 24, 2021,1662,1698
August 25, 2021,1621,1716
August 26, 2021,893,974
August 27, 2021,384,427
August 28, 2021,538,638
August 29, 2021,1057,1083
August 30, 2021,1526,1659
August 31, 2021,1518,1601
September 1, 2021,1504,1724
September 2, 2021,1299,1469
September 3, 2021,1603,1656
September 4, 2021,888,1113
September 5, 2021,1255,1357
September 6, 2021,832,822
September 7, 2021,1431,1500
September 8, 2021,1052,1169
September 9, 2021,963,1046
September 10, 2021,1576,1711
September 11, 2021,1009,1093
September 12, 2021,1463,1511
September 13, 2021,1533,1638
September 14, 2021,978,1093
September 15, 2021,980,968
September 16, 2021,1085,1191
September 17, 2021,1662,1720
September 18, 2021,974,1212
September 19, 2021,1476,1475
September 20, 2021,1165,1242
September 21, 2021,1014,1029
September 22, 2021,1325,1431
September 23, 2021,1263,1484
September 24, 2021,1005,1035
September 25, 2021,861,1041
September 26, 2021,1397,1463
September 27, 2021,1648,1744
September 28, 2021,1358,1403
September 29, 2021,1380,1540
September 30, 2021,854,935
October 1, 2021,1297,1461
October 2, 2021,415,638
October 3, 2021,786,843
October 4, 2021,1115,1144
October 5, 2021,1630,1817
October 6, 2021,1007,1115
October 7, 2021,1156,1226
October 8, 2021,569,627
October 9, 2021,254,304
October 10, 2021,626,687
October 11, 2021,676,777
October 12, 2021,1173,1275
October 13, 2021,1102,1184
October 14, 2021,948,986
October 15, 2021,1196,1302
October 16, 2021,481,524
October 17, 2021,449,455
October 18, 2021,615,663
October 19, 2021,953,960
October 20, 2021,1255,1339
October 21, 2021,1188,1355
October 22, 2021,1772,1878
October 23, 2021,294,320
October 24, 2021,1115,1215
October 25, 2021,1204,1303
October 26, 2021,866,962
October 27, 2021,967,1038
October 28, 2021,1066,1170
October 29, 2021,1389,1450
October 30, 2021,362,473
October 31, 2021,862,899
November 1, 2021,930,963
November 2, 2021,1177,1326
November 3, 2021,1543,1594
November 4, 2021,1279,1387
November 5, 2021,1577,1679
November 6, 2021,983,1066
November 7, 2021,1129,1287
November 8, 2021,1254,1288
November 9, 2021,1251,1295
November 10, 2021,697,734
November 11, 2021,938,1030
November 12, 2021,1391,1371
November 13, 2021,802,862
November 14, 2021,910,1006
November 15, 2021,1415,1462
