Data Medicao	EVAPORACAO DO PICHE, DIARIA(mm)	INSOLACAO TOTAL, DIARIO(h)	PRECIPITACAO TOTAL, DIARIO(mm)	TEMPERATURA MAXIMA, DIARIA(°C)	TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)	TEMPERATURA MINIMA, DIARIA(°C)	UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)	VENTO, VELOCIDADE MEDIA DIARIA(m/s)
2016-03-23	4.3	5.3	0	28.8	23.14	20.3	80.25	1.9
2016-03-24	2.9	5.1	4.4	27.4	21.64	18.4	78.75	3.133333
2016-03-25	3	2.7	0.1	28.8	22.68	19.2	79.75	2.133333
2016-03-26	3.5	8.4	23.6	28.4	24.4	19.4	68	2.6
2016-03-27	3.8	8.7	0	29.7	25.32	21.2	71.25	2.9
2016-03-28	3.8	8.8	0	30.8	25.2	21.6	78	1.666667
2016-03-29	4.4	7.9	0	31.3	24.44	19	74.5	1.9
2016-03-30	3.3	6	15	29.5	24.12	19.2	78	2.733333
2016-03-31	2.8	6.8	0	31	24.66	20.7	73.75	1.833333
2016-04-01	3.5	8.2	0.6	29.4	24.08	20.8	72.75	2.866667
2016-04-02	3.5	5.1	0	29.7	22.64	18.5	79.75	2.2
2016-04-03	2.7	8.5	0	31.4	25	19.2	70.25	1.733333
2016-04-04	3.8	8.4	0	29	23.54	19.2	72.5	3.533333
2016-04-05	5.8	9.7	0	29.6	22.94	18.8	71.75	2.233333
2016-04-06	4.8	9.4	0	30.4	24.46	18.6	69.25	2.066667
2016-04-07	4.2	10.4	0	32.1	25.18	18.8	55.75	1.6
2016-04-08	6.8	8.3	0	30.5	24.94	20.5	71.5	2.033333
2016-04-09	2.7	8.4	0	32.9	25.34	18.4	67.75	0.866667
2016-04-10	5	7.1	0	31	25.04	21.2	74.25	2.566667
2016-04-11	3.5	8.2	0	29.5	24.12	20.7	73.75	2.8
2016-04-12	5	8.1	0	31.7	24.24	19.5	71.75	3.033333
2016-04-13	4.2	7.6	0	31.4	24.86	20.3	70.75	1.866667
2016-04-14	4.3	9.7	0	31.8	25.9	19.3	58.75	1.9
2016-04-15	6.5	8.4	0	32.3	25.92	21.3	67.25	1.733333
2016-04-16	5.4	7.8	0	31.1	25.52	20.4	54	1.533333
2016-04-17	5.5	10.1	0	32	25.34	19.1	57.25	1.066667
2016-04-18	5.7	9.9	0	32.4	25.76	19.8	57	2.066667
2016-04-19	6.3	9.9	0	31.5	26.3	20.8	60.25	2.2
2016-04-20	5.7	8.3	0	31	25.9	21.9	62.75	1.466667
2016-04-21	5	10	0	31.3	25.34	19.8	50	1.7
2016-04-22	8.5	7.1	0	30.5	24.66	19.6	63.5	1.333333
2016-04-23	4.8	9.9	0	31.5	25.8	20.2	55	2.133333
2016-04-24	6.9	8.7	0	31.3	26.04	20.4	53.5	1.166667
2016-04-25	6.3	9.3	0	30.9	25.9	20.6	49.5	2.2
2016-04-26	10	1.1	0	26.8	22.14	19.8	69	3.6
2016-04-27	5.2	1.3	1.8	21.3	17.18	15.5	84.5	2.6
2016-04-28	2.5	6.1	0	21.2	15.36	12.2	74.75	3.533333
2016-04-29	2.7	0	0	16.5	14.44	11.8	85	2.666667
2016-04-30	1.1	9.4	0	21.7	16.34	12	68.75	2.866667
2016-05-01	4.5	10	0	20.8	14.6	10.7	61.5	2.133333
2016-05-02	4.2	9.5	0	24.2	16.28	10	71	2.266667
2016-05-03	3.8	8.8	0	25.6	18.3	12.7	68.25	1.9
2016-05-04	3	7.4	0	25.5	18.76	13.5	70.5	0.9
2016-05-05	3.3	5.1	0	24.8	19.08	15.5	74.75	2.4
2016-05-06	2.9	8.2	0	26.7	19.94	14.6	71	2.366667
2016-05-07	3.3	0.3	0	23.4	19.64	16.6	80.25	1.033333
2016-05-08	3	0.9	0	23.2	19.94	17.1	77.5	1.9
2016-05-09	1.2	1.2	0	25	20.56	16.4	72	1.4
2016-05-10	3.8	0.6	0	24.2	20.14	17.7	75	3.033333
2016-05-11	3.8	2.1	0	23.7	19.28	15.6	77.25	0.966667
2016-05-12	2.2	1.8	0	22	18.1	16.3	88.25	2.533333
2016-05-13	2.2	1.8	0.6	21.7	17.38	14.9	77.5	3.433333
2016-05-14	3	5.1	0	22.7	17.8	14.8	72	3.8
2016-05-15	2.8	8.6	0	26.5	20.88	15	62.5	3.033333
2016-05-16	5	4.2	2.5	27.3	21.56	17	75.5	3.8
2016-05-17	3.8	6	3.2	24.8	17.98	15.2	81	1.666667
2016-05-18	2.5	0	0	16.6	15.72	14.2	96.25	1.366667
2016-05-19	0.4	0	30.2	16.5	14.92	13.7	92.25	1.9
2016-05-20	0.7	4.2	1.2	23.6	18.36	13.8	86.75	2.633333
2016-05-21	1.1	0	31.6	19.7	17.62	13.8	88.25	2.433333
2016-05-22	1.8	5.5	6.4	26.5	20.94	13.8	70.75	2.8
2016-05-23	4.2	3.5	17.5	21.8	14.48	12	75.5	1.9
2016-05-24	2.3	5.3	0.6	18.1	13.6	9.5	77.75	3.533333
2016-05-25	2.5	7.6	0	21.9	16.18	11.8	79.25	3.533333
2016-05-26	4	6.1	0	24.2	17.64	13.4	79.5	1.2
2016-05-27	1	2.2	0	20	17.1	14.3	84.25	2.233333
2016-05-28	1.3	2	0	21.7	18.08	15.5	83	2.566667
2016-05-29	2.2	3.6	0	22	17.56	14.4	80.5	3.033333
2016-05-30	3.3	1.2	0	21	17.2	14.2	83.25	2.7
2016-05-31	2.4	7.3	11.9	23.8	19.6	14.8	77.25	3.2
2016-06-01	2.8	4.8	1.2	23.5	20.58	17	77.25	1.766667
2016-06-02	2.5	6.9	22	23.4	18.04	14.8	81.25	2.133333
2016-06-03	3.8	1.6	8.4	20.8	17.3	15.1	91.5	2.033333
2016-06-04	1	0	14.8	20	17.22	14.8	94	2.6
2016-06-05	0.5	1.9	73.4	22.2	19.6	15.6	90.5	2.633333
2016-06-06	1.2	1.6	30.6	23.5	19.5	15.8	89.75	1.833333
2016-06-07	1.2	0	53	20.4	14.16	11.7	89.25	1.866667
2016-06-08	1.1	8.4	0.5	18.6	14.4	10.2	65.5	2.2
2016-06-09	2.7	7.4	0	16.5	11.38	8.9	71.5	1.933333
2016-06-10	1.7	5	0	18.8	11.96	5.5	66	1.633333
2016-06-11	3.6	8.7	0	16.7	10.92	6.4	70	1.533333
2016-06-12	2.3	8.4	0	16.7	10.16	6.1	71	1.233333
2016-06-13	3.1	8.7	0	16.8	9.94	3.5	72.75	3.1
2016-06-14	2.4	8.6	0	20	12.68	7	78	2.5
2016-06-15	2.4	7.5	0	23.2	15.54	8.3	72.25	1.1
2016-06-16	1	8.3	0	25.5	17.36	9	66.5	1.3
2016-06-17	3.2	8.4	0	25.4	18.9	12	60.75	2.733333
2016-06-18	4.2	4.1	0	21.4	15.34	12.5	84.25	2.7
2016-06-19	1.8	7.3	0	24.5	16.22	12.4	77.75	2.233333
2016-06-20	2.2	0	0	16	13.4	11.6	87.25	3.5
2016-06-21	1.3	0	0	14.3	12.78	11.3	86.25	3.566667
2016-06-22	1.3	2.9	0	20.5	15.44	11.9	84.75	1.833333
2016-06-23	1.5	7.3	2.9	23.9	16.68	11.9	72.25	1.733333
2016-06-24	2.9	7.6	0	21.2	14.44	11.1	81.5	2.466667
2016-06-25	2	5.5	0	20.5	15.32	12.3	79.75	2.966667
2016-06-26	2.4	7.6	0	22.1	15.84	12.8	77.5	3.066667
2016-06-27	2.6	7.6	0	22.4	15.04	11.4	81.75	1.866667
2016-06-28	1.9	7.8	0	21.7	16.4	10.5	74.5	1.8
2016-06-29	2.4	6.7	0	24.2	18.08	12.3	77.75	1.1
2016-06-30	2.1	3	0	23.5	18.48	13.5	64.5	2.6
2016-07-01	2.8	6.6	0	24.4	17.44	13	77.25	1.966667
2016-07-02	1.9	6.9	0	26.4	19.5	14.1	74	1.366667
2016-07-03	2.8	8.2	0	26.4	20.2	14	64.5	1.666667
2016-07-04	3.4	8	0	26.4	19.38	14	66.25	1.033333
