Data Medicao	EVAPORACAO DO PICHE, DIARIA(mm)	INSOLACAO TOTAL, DIARIO(h)	PRECIPITACAO TOTAL, DIARIO(mm)	TEMPERATURA MAXIMA, DIARIA(°C)	TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)	TEMPERATURA MINIMA, DIARIA(°C)	UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)	VENTO, VELOCIDADE MEDIA DIARIA(m/s)
2016-12-29	6	9.2	0	34.2	26.24	21.4	61	2.4
2016-12-30	5	10	1.1	31.8	25.64	21.4	70.25	3.3
2016-12-31	5.6	6.9	0	31.7	26.9	22.1	59.25	2.5
2017-01-01	6.1	8.5	0	31.7	25.2	18.1	66	3.466667
2017-01-02	6.3	5.6	16	31.3	23.96	18.1	83	2.9
2017-01-03	4.5	7	3.7	31.3	23.1	19.2	87	3
2017-01-04	3.5	4.2	5	30.3	25.14	18.8	64	2.05
2017-01-05	5.6	6.1	0	31.2	25.9	21.9	62	1.65
2017-01-06	5.8	4	0	30.4	25	21.6	90	1.85
2017-01-07	4	2.3	1.2	30.2	23.32	18.3	null	1.6
2017-01-08	2.1	5.6	82.8	30.3	23.66	18.4	87	0.4
2017-01-09	3.7	2.1	11	30.4	23.82	20.9	84	2.5
2017-01-10	4.6	8	16.7	30.6	25.58	20.3	71	2.1
2017-01-11	4.9	2.7	0	30.1	24.64	20.9	78.75	3
2017-01-12	2.5	0.4	15.6	25.7	22.46	19.8	90	2.75
2017-01-13	2.6	3.1	4.2	28.2	22.78	18.3	84	1.85
2017-01-14	2.7	5.7	0	31.9	24.6	20.2	80	2.05
2017-01-15	6.7	5	0	30.7	24.48	20.3	86	2.45
2017-01-16	3.2	5.7	115	29	24	18.6	84	1.65
2017-01-17	3.2	0	30.8	24.2	22.44	18.5	78	2.05
2017-01-18	2.1	0	23	24	21.52	18.4	93	2.05
2017-01-19	1	0	15.2	25.4	21.24	18.8	91	2.25
2017-01-20	1.2	0.1	15.8	23.8	20.34	17.8	95	2.3
2017-01-21	1.2	0	17	22	19.1	16.8	98	2.3
2017-01-22	0.5	0.6	46.6	21.9	19.58	16.2	93	0
2017-01-23	0.8	1.4	4.6	25.5	21.6	17.6	88	1.8
2017-01-24	2	8	8	29.5	23.78	19	81	1.8
2017-01-25	4.1	6.2	8.8	28.7	24.4	20.3	74	2.8
2017-01-26	4.9	0.2	0	25.1	22.72	20.9	83	1.65
2017-01-27	1.5	1.5	8.8	25.5	22.32	18.1	84	0
2017-01-28	1.7	7	0	25.6	22.72	18.2	59	2.3
2017-01-29	3.8	8.8	0	32	24.9	20.3	76	2.85
2017-01-30	5.5	5.1	0	29.3	22.8	18.6	83	3.3
2017-01-31	3.5	3.8	4.2	29	23.4	18.7	81	2.45
2017-02-01	3.8	0.6	1	27.6	21.64	18.6	83.25	1.933333
2017-02-02	2.2	4.3	26.5	27	23.48	18.6	73.75	2.466667
2017-02-03	4	4.4	1	29.2	24.52	19.6	67.5	2.633333
2017-02-04	3.5	3.8	4.5	28.2	23.24	19.2	83.75	1.6
2017-02-05	3.5	11	8.2	31.8	25.28	18.8	69	1.633333
2017-02-06	5	7.9	0	30.8	23.46	19.5	73.5	1.933333
2017-02-07	3.8	7.4	38.2	28.8	23.56	18.3	74.75	3.566667
2017-02-08	3.4	10.3	0	28.4	23.42	19.7	74	3.9
2017-02-09	5	9	0	27.5	22.5	18.1	66	3.3
2017-02-10	5.8	6	0	29.4	23.36	18.6	70.25	3.3
2017-02-11	3.3	10.6	0	31.2	25.52	20.4	64.75	2.8
2017-02-12	6	7.2	0	31.1	26.12	20.9	59.75	2.466667
2017-02-13	5.5	11.6	0	31.7	26.7	21.7	58.25	3.3
2017-02-14	6.5	9.7	0	32.8	26.34	20.7	57	2.633333
2017-02-15	6.4	9	0	31.8	26.14	21.3	61.25	1.4
2017-02-16	5.1	7.4	0	31.7	25.88	20.6	61.5	2.166667
2017-02-17	5.3	10	0	33.4	26.84	20.3	51.75	1.233333
2017-02-18	6.7	10.3	0	34	26.52	20.2	42.5	1.866667
2017-02-19	7.5	9.1	0	34.6	27	21.8	59	1.933333
2017-02-20	6.3	10.8	0	33.5	25.48	20.7	70.75	3.4
2017-02-21	6	10.9	0	31.9	24.32	18.9	76.25	3.133333
2017-02-22	5.5	7.5	0	32.8	24.92	19.6	61.5	1.066667
2017-02-23	4	10.8	0.5	33.2	26.82	20.8	54.5	2.233333
2017-02-24	7.3	5.6	0	29.7	23.02	17.8	74.5	1.7
2017-02-25	4.2	0.7	34.8	24.4	21.54	17.8	80.75	1.833333
2017-02-26	2.5	4.3	0	27.6	22.78	19.5	82.75	1.233333
2017-02-27	2.5	6.9	12.6	29	23.3	19	72.75	2.433333
2017-02-28	3.6	10.4	0	30.2	24.32	18.2	66	2.566667
2017-03-01	6.1	10.3	0	30.9	26.12	20.7	63	2.766667
2017-03-02	5.3	4.9	0	28.7	23.82	21.4	74.25	3.266667
2017-03-03	4	1.6	7	27.5	22.68	19.5	82.5	2.066667
2017-03-04	1.9	2.5	5.8	29	23.82	20.3	74	2.466667
2017-03-05	2.5	4.4	0	29.6	23.16	19.8	85	2.966667
2017-03-06	2.1	1.1	31	27.4	22.88	19.8	88.25	2.133333
2017-03-07	1.5	6.4	36.8	29.2	21.92	15.6	81.5	3.066667
2017-03-08	2.9	2.6	43.6	28.2	22.28	15.6	79.5	2.733333
2017-03-09	2.9	9.3	0	30.7	24.72	18.6	72	1.633333
2017-03-10	4.2	6.9	0	31	24.7	20.5	73.75	1.5
2017-03-11	5.8	5.4	4.6	30.6	24.96	20.4	73.75	2.2
2017-03-12	3.5	10.2	0	31.5	26.6	20.3	57.5	1.766667
2017-03-13	7.6	0	0	28.1	23.22	20.6	78.5	2.733333
2017-03-14	2.8	1.1	0	25.8	21.52	18.6	86	3.466667
2017-03-15	2.3	4.6	3.2	28.4	23.36	18.8	74.5	3.033333
2017-03-16	3.5	10.2	0	30.2	25.16	18.4	60.75	2.166667
2017-03-17	6	6.1	0	29.2	23.04	18.8	83.25	2.466667
2017-03-18	2.1	0	18.6	21.9	19.38	17.2	91.75	3.966667
2017-03-19	1.4	0	0.6	19.5	18.12	15.5	88.75	2.366667
2017-03-20	1.5	5.1	0.2	24.8	19.62	16.5	72	3.666667
2017-03-21	3.5	7.6	0	25.5	19.48	14.3	75.25	3.3
2017-03-22	3.3	10.4	0	27	20.44	14.2	74	3.6
2017-03-23	7.5	7	0	27.3	20.86	14.4	71.25	2.466667
2017-03-24	3.6	7	0	28.7	21.58	16	74	1.766667
2017-03-25	3.1	5.8	8	27	21.82	17.9	74.5	1.533333
2017-03-26	3.5	8.1	1	26.3	20.92	16.5	71.5	2.766667
2017-03-27	4	0.2	0	24.5	20.2	16.5	76	3.033333
2017-03-28	5	7.3	0	26.1	20.94	16.9	71.5	3.4
2017-03-29	2.3	9.3	0	24.8	19.68	16	66.25	3.533333
2017-03-30	3.6	7	0	25	19.28	15.3	71	2.666667
2017-03-31	3.9	7.4	0	23.2	18.88	15.8	72	2.733333
2017-04-01	3.7	7.1	0	23.9	18.98	16	75	3.766667
2017-04-02	3.5	6.5	0.6	25.2	19.42	15.9	78.25	2.566667
2017-04-03	3.3	9.4	0	27.6	20.9	15.9	78.25	1.966667
2017-04-04	3.5	8.5	0	29.7	22.54	17.8	70.5	1.9
2017-04-05	4	9.6	0	30.4	24.9	18.6	57.75	1.9
2017-04-06	2.2	0.6	5	26.4	22.36	19.8	84.25	2
2017-04-07	6.5	0	82.1	22.6	21.16	19.6	93.75	1.033333
2017-04-08	1	3.2	18	26.2	22.48	20.2	83	2.5
2017-04-09	2.3	6.3	0	27.6	22.62	19.6	81.25	2.866667
2017-04-10	3	6.7	0	28.8	23.68	20.4	78.5	2.366667
2017-04-11	3.1	7.9	4.8	29.6	25.2	21.2	71.5	1.9
2017-04-12	4.4	0.6	0	25.2	19.88	17.6	83.5	3.366667
2017-04-13	1.7	0	1.7	20.3	18.46	17.4	78.75	3.333333
2017-04-14	2	1.3	0	24.1	19.56	16.5	81.5	2.366667
2017-04-15	2.1	10	0	27.6	21.68	17.9	74.75	2.2
2017-04-16	3.2	7.9	0	29.1	23.02	17.3	62	2.833333
2017-04-17	5	0	0.4	24.1	19.74	17.2	88.25	2.2
2017-04-18	2	3.9	0	22.6	18.34	16.4	72.75	3.866667
2017-04-19	4.1	3.2	0	23	18.06	14.7	73.5	3.833333
2017-04-20	4.1	8.1	0	27.9	21.38	16	69.75	2.466667
2017-04-21	3.4	0	0.4	24.5	21.42	17.6	77	2.733333
2017-04-22	3	4.8	16.3	22.4	17.98	15.1	82.5	2.833333
2017-04-23	1.9	0.6	2.6	21	17.9	16.1	82.5	3.5
2017-04-24	3.1	9.8	0	27	19.66	14.9	78.5	2.933333
2017-04-25	2.3	9.6	0	28.5	22.56	17.4	69.75	2.966667
2017-04-26	6.2	0.3	0	24.2	20.76	17.6	80.5	4.466667
2017-04-27	2.3	0	11	19.9	16.5	14.2	91.25	1.8
2017-04-28	2	0	0.2	16.1	14.3	13.6	90.5	3.033333
2017-04-29	0.8	0	0	19.1	16.28	13.4	85.25	3.433333
2017-04-30	1.8	5.1	0	22.3	18.06	15.2	79	3.033333
2017-05-01	2	7.7	0	23.8	18.52	15	74	3.2
2017-05-02	3.9	4.5	0	23.4	18.7	16.1	80.75	2.166667
2017-05-03	2	7.1	0	24.8	18.78	15.1	79.5	1.866667
2017-05-04	2.2	5.3	0	25.8	20.2	14.8	75.75	1.5
2017-05-05	2.8	0.6	22	21.8	17.32	15.2	91.25	1.066667
2017-05-06	1.1	4.1	13.2	23.3	18.46	14.7	82.75	2.4
2017-05-07	1.7	4.5	1	21.8	18.46	16.5	82	3.133333
2017-05-08	3.1	6.9	0	24.5	18.72	14.4	81	1.833333
2017-05-09	6.6	8.9	0	25.5	19.84	14.6	64.25	1.666667
2017-05-10	5.4	2.6	0	23.4	19.52	17.2	74.25	2.366667
2017-05-11	2.6	4.1	1	21.6	17.6	16.1	76.75	2.566667
2017-05-12	3	8.9	0	24.2	17.82	13.6	76.75	2.6
2017-05-13	2.3	8.6	0	27.2	20.4	13.8	65.75	3.2
2017-05-14	6.6	5.6	0	25	20.82	16.1	73.5	2.933333
2017-05-15	4.1	7.9	0	23.8	18.42	15.5	73.75	2.3
2017-05-16	3	5.7	0	22.4	17.7	15	73.25	3.033333
2017-05-17	5	0.6	0	20.8	17.38	14.9	79	2.8
2017-05-18	2.7	0	0	19.1	17.1	15.7	88.25	3.566667
2017-05-19	1.5	0	28.3	17.4	16.5	15.1	96	1.433333
2017-05-20	0.3	3.3	31.3	22.3	18.84	15.5	84	1.366667
2017-05-21	2.1	0	0.6	19.5	18.2	17.4	95.75	1.5
2017-05-22	0.6	0.1	56	19.5	17.82	17	90.5	2.833333
2017-05-23	0.8	7.8	0	22	17.1	13.4	78.5	2.6
2017-05-24	3.5	2	0	22	18.36	14.9	87.5	1.433333
2017-05-25	1.3	6.5	0	27	20.54	15.7	79	2.466667
2017-05-26	3.5	8.1	0	28.2	21.88	16.1	77.75	0.866667
2017-05-27	3.7	1.8	0	24.2	20.32	18.3	81.25	2.6
2017-05-28	2.5	0	0	21.8	19.34	18.3	88	1.5
2017-05-29	2.5	6.7	0	25.2	19.72	14.9	74.25	1.766667
2017-05-30	4	0	0	21.1	18.44	16.1	87.75	2.2
2017-05-31	3	7	0	25	20.3	16.9	66.75	2.166667
2017-06-01	10.8	2	0	20.7	18.74	17.3	80.25	4
2017-06-02	3.2	8.6	0	21.2	15.7	12	71.25	2.266667
2017-06-03	3.2	8.5	0	24	17.36	12.9	78.5	2.5
2017-06-04	2.2	7.7	0	28.2	20.48	13.6	72.5	1.733333
2017-06-05	4.2	0	0	22.4	19.12	17.8	91.5	1.433333
2017-06-06	0.6	0	58.8	22.8	19.54	17.7	91.5	2.033333
2017-06-07	0.8	5.5	25.3	27.2	21.76	17.3	84.5	1.9
2017-06-08	3	3.2	0	27.4	22.66	17.8	57.5	3
2017-06-09	7.5	0.7	0	23.2	17.84	15.2	68.5	4.8
2017-06-10	2.5	8.4	0	19.6	14.44	10.9	63.25	1.9
2017-06-11	5.5	8.5	0	21.8	14.7	8.9	70.75	1.033333
2017-06-12	2.3	2.7	0	21.5	16.4	11.5	71.75	1.566667
2017-06-13	2.7	0	4.6	17.9	15.42	13.6	95.25	1.433333
2017-06-14	0.5	1.2	13.2	20.4	16.22	14.3	85.5	1.766667
2017-06-15	1.5	4	0	21	17.18	14.6	82.25	2.366667
2017-06-16	2	7	0	23.3	17.74	14	77.5	1.866667
2017-06-17	2.8	6.7	0	24.8	18.28	12.9	68.25	2.166667
2017-06-18	3.8	6.9	0	24.6	19.32	13.8	64.75	2.3
2017-06-19	5.6	5.9	0	24.8	18.82	15.3	75.75	2.3
2017-06-20	2.8	0	0	17.6	15.24	14	90.5	2.8
2017-06-21	1.2	1.9	1	19.8	16.4	14	86.25	3.466667
2017-06-22	1.8	8.2	0	22.4	17.94	14.5	74.5	3.466667
2017-06-23	3.1	7.7	0	22.8	17.26	14.1	78	2.6
2017-06-24	3.6	8.5	0	21.9	17.6	14.5	80.25	2.9
2017-06-25	5.3	8.4	0	21.7	17.26	14.9	72.25	2.833333
2017-06-26	3	8.3	0	22.3	16.84	12.7	76.5	2.166667
2017-06-27	2.5	7.1	0	23.5	17.24	13.5	62.75	1.5
2017-06-28	2.2	7.9	0	25	19.08	13	69.5	1.233333
2017-06-29	6.8	8.3	0	25.2	19.32	14.4	64.25	1.4
2017-06-30	0.7	7.1	0	24.8	19.64	13.9	59.5	2.166667
2017-07-01	4.6	0.2	0	21.3	16.68	14.7	87	2.066667
2017-07-02	1.4	0.2	0	16.7	13.64	12.2	77.5	3.933333
2017-07-03	2.8	3.8	0	16	12.7	10.5	69.75	3.566667
2017-07-04	2.8	8	0.8	17.5	13.08	9.3	71.5	2.933333
2017-07-05	3.5	8.4	0	19.4	13.84	8.6	72.5	2.2
2017-07-06	2.5	7.7	0	20.4	14.92	10.8	71.25	2.7
2017-07-07	2.5	4.5	0	20.7	15.92	12.2	75.75	3.566667
2017-07-08	2.5	6.1	0	21.1	16.72	13	71	2.433333
2017-07-09	2.6	8.1	0	22.8	17.26	13.1	70.25	3.1
2017-07-10	2.4	5.1	0	23.8	17.32	12.7	71.75	1.3
2017-07-11	3	8.3	0	25.1	18.56	12.6	70.25	1.3
2017-07-12	3.5	8.2	0	23.2	16.94	12.7	74.5	2.333333
2017-07-13	2.8	6.2	0	22.2	16.78	14.2	78	2.866667
2017-07-14	2.7	7.4	0	24	17.84	12.9	69.25	2.7
2017-07-15	5.5	8.5	0	24.8	18.36	12.5	62	2.2
2017-07-16	5.7	7.3	0	24.4	19.82	15.1	53.75	2.7
2017-07-17	6.3	8.4	0	26.1	18.9	14.2	65.75	2.033333
2017-07-18	3.4	0	0	18	10.9	7.9	87.5	3.566667
2017-07-19	3.1	0	0	13.9	11.52	7.9	85.75	3.3
2017-07-20	1.5	6.8	0	22.9	15.4	10	79.75	1.666667
2017-07-21	2	8.4	0	24.9	18.98	12.2	59.75	2.066667
2017-07-22	5.6	7	0	23	16.5	13.5	71.75	2.066667
2017-07-23	3.4	8.5	0	25.9	19.14	14.2	64	3.133333
2017-07-24	4.4	8.5	0	24.8	18.58	12.5	57.75	1.6
2017-07-25	5.2	8.4	0	25.6	19.06	12.9	58.5	1.233333
2017-07-26	5.4	8.8	0	24.7	18.58	13.4	63.75	1.733333
2017-07-27	5	8.8	0	24.5	17.68	13.3	69.5	2.666667
2017-07-28	3.7	7.2	0	21.7	16.22	12.7	72.5	3.433333
2017-07-29	3.5	8.9	0	23.2	17.6	12.6	69.75	3.233333
2017-07-30	3.8	7.2	0	24	17.96	14.3	70.25	1.666667
2017-07-31	3.5	5.6	0	22.5	17.62	12.8	57.25	1.633333
2017-08-01	4	4.9	0	21.6	17.26	12	56.25	2.266667
2017-08-02	2.3	5.1	0	25.2	19.68	15	48.75	2.333333
2017-08-03	0.8	4.8	0	21.7	18.96	15.2	57.5	3.833333
2017-08-04	2.2	0.7	0.3	18.3	14.78	13	82	3.966667
2017-08-05	1.8	4.2	2.4	17.4	14.1	12.5	70	4.2
2017-08-06	2.6	8.5	0	19.5	14.24	11.2	71	4.133333
2017-08-07	2	8.3	0	25.5	17.62	10.3	64.75	1.633333
2017-08-08	5.4	8.4	0	27.7	20.7	11.4	49.25	2.733333
2017-08-09	8.6	9.5	0	29.3	23.52	17.5	46.25	3.633333
2017-08-10	8	0	0	24	17.26	14.9	82	3.766667
2017-08-11	2.8	9.2	0	23	16.74	12.5	71.75	4.4
2017-08-12	3.9	6.1	0	24.5	18.74	14	67.25	3.666667
2017-08-13	7.5	7.8	0	30.1	21.34	13.8	61.75	2.466667
2017-08-14	2	1.6	0	25.2	19.02	15.7	72	2.8
2017-08-15	3.1	0	0	16.5	15.12	14.1	90	2.9
2017-08-16	0.9	0	5.1	16.8	15.68	13.9	94.5	1.066667
2017-08-17	0.6	0	4.7	16.7	15.36	14.5	93	2.066667
2017-08-18	0.4	0	14.1	17.2	16.04	14	94.25	1.533333
2017-08-19	0.4	0	1.4	18	16.52	14.6	94	2
2017-08-20	0.6	0	4.6	20.2	16.9	14.7	95.25	1.933333
2017-08-21	0.8	0.9	27.8	16.2	12.42	11.1	91	4.833333
2017-08-22	1.3	0.8	0.1	17.7	14.3	11	75.75	4.066667
2017-08-23	3	5.6	0	22.2	16.86	12.6	80.5	3.333333
2017-08-24	2	9	0	23	16.86	13.4	72.25	3.033333
2017-08-25	3.2	8.7	0	25.7	17.62	13.2	73	2.566667
2017-08-26	5.5	10.2	0	27.2	19.88	12.9	56	2.5
2017-08-27	5.3	10.3	0	28	21.02	18.8	54.75	1.733333
2017-08-28	12.4	10.4	0	27	18.64	14.2	66.25	1.966667
2017-08-29	4.7	7.2	0	28.4	19.84	12.4	65.5	1.366667
2017-08-30	4	9.9	0	31.2	23.48	14.5	44	1.8
2017-08-31	8.3	0	0	25.2	17.92	15.3	81.75	3.3
2017-09-01	2	5.4	0	23.5	17.38	14.8	79	4.066667
2017-09-02	3.9	10.2	0	25.3	17.9	14.6	68.25	2.533333
2017-09-03	3.6	10.5	0	26.8	18.92	12.6	59	2.4
2017-09-04	4.7	10.8	0	28.7	21.6	13.3	41.5	2.2
2017-09-05	11.5	10.5	0	28.7	21.82	14.8	46.25	1.433333
2017-09-06	7.3	10.1	0	27.2	19.66	14.7	68	2.466667
2017-09-07	4.7	10.4	0	28.3	20.96	13.9	41.25	2.466667
2017-09-08	6.5	10.1	0	29.9	22.48	15.4	39	1.433333
2017-09-09	8.7	9.1	0	30.2	22.8	14.7	43	1.066667
2017-09-10	7.8	10.4	0	30.4	23.6	17.1	41.25	1.966667
2017-09-11	7.9	9.8	0	31.9	25.16	18.3	36.75	2.066667
2017-09-12	9	10.6	0	31.1	22.72	18.9	58.25	2.066667
2017-09-13	5.9	10.6	0	31.8	23.82	16.3	47.75	1.666667
2017-09-14	8.1	10.8	0	32.7	26.12	18.7	35.5	2.466667
2017-09-15	11.2	10.5	0	33.4	24.88	19.6	46	1.466667
2017-09-16	8.1	9.9	0	32.2	22.24	17	63.5	1.933333
2017-09-17	8	10	0	32.2	22.16	17.6	65.25	1.633333
2017-09-18	6.2	8.1	0	30.2	21.56	18	71.25	2.066667
2017-09-19	3.8	8.2	0	28.1	19.98	16.4	74	2.166667
2017-09-20	5.5	10.3	0	27.2	19.78	15.2	73	2.933333
2017-09-21	3.5	9.5	0	29.7	22.7	15.8	50.5	1.633333
2017-09-22	5.5	7.1	0	30	24.04	17.4	37	2.033333
2017-09-23	18.7	10	0	30.7	22.98	18.3	55.5	3.166667
2017-09-24	14.2	5.7	0	24.5	19.94	18	71.75	3.833333
2017-09-25	4.2	6.6	0	26.5	19.5	16.2	71.25	4.033333
2017-09-26	6.5	8.5	0	27.4	19.6	14.7	74.75	2.9
2017-09-27	3.8	10.4	0	30.6	23.56	16.1	49.25	1.533333
2017-09-28	8.4	8.1	0	27	20.64	17	77.5	3.833333
2017-09-29	3.5	0	1	23.2	18.54	16.3	86	3.066667
2017-09-30	2.1	1.2	10.1	22.2	18.28	16.4	86	3.133333
2017-10-01	2.9	10.3	25.5	27	21.5	16.2	60.75	3.6
2017-10-02	6.8	2.2	0	23	20.38	16.7	73	2.3
2017-10-03	3	1.7	17.6	23.2	17.8	14.8	82	2.3
2017-10-04	3.5	5.8	1	24.1	18.48	14.4	63	3.75
2017-10-05	5.7	10.8	0	32.1	24.04	13.9	72	2.05
2017-10-06	5.8	10.5	0	33.7	25.74	18.8	51	0.55
2017-10-07	6.7	0	2.4	26	19.84	18	93	2.8
2017-10-08	1.5	4.7	5.4	25.8	22.04	17.4	79	2.5
2017-10-09	2.4	10	0	31.1	25.04	18.4	65	1.8
2017-10-10	7	8.8	0	33.9	24.84	20.3	73	1.6
2017-10-11	5.3	8.9	3	34.7	25.56	19.5	70	1.4
2017-10-12	4.8	8.9	32	34.5	24.52	19.1	77	3
2017-10-13	5.8	9	0	34.5	26.2	19.1	67	1.55
2017-10-14	7	5.4	10.8	31.4	23.1	19.3	80	3.15
2017-10-15	4	0	0	19.8	17.34	16.1	84	3.65
2017-10-16	3	6.6	0	24.4	19.24	15.4	76	4.5
2017-10-17	4	7.5	0	28.5	21.26	17.2	81	3.15
2017-10-18	3.7	11.1	0	31.6	25.34	17.9	50	2.1
2017-10-19	3.7	11.5	0	26.2	23.54	19.6	84	3.3
2017-10-20	11	3.8	0	26.1	20.8	19	84	4
2017-10-21	3	0.4	0.8	25.7	22.54	18.5	71	1.95
2017-10-22	5	0	0.1	23.5	20.34	18.8	85.25	2.166667
2017-10-23	2.2	0	4.1	19.7	15.86	13.8	81.5	3.8
2017-10-24	2	0.2	0	20.9	17.7	13.8	78.5	3.4
2017-10-25	2.3	6	0	30.3	21.56	16.3	76.25	2.066667
2017-10-26	2.7	2.5	32.8	25.6	20.16	15.4	77.75	1.9
2017-10-27	3.5	1.1	2.2	25.8	22.32	18	63.25	3.033333
2017-10-28	4.8	8.2	3.4	28	23.42	18.5	66.25	0.3
2017-10-29	6.5	0.4	0	24.8	21.08	19.6	76	1.766667
2017-10-30	2.1	0	1.3	22.4	20.5	18.2	87.25	2.2
2017-10-31	1.7	0.7	7	22.7	18.98	17	77.75	3.066667
2017-11-01	2.6	8.2	0	22	17.64	14.6	64.75	4.266667
2017-11-02	6.1	11	0	25.8	18.96	14.4	68.25	3.633333
2017-11-03	5	9.8	0	31.5	23.56	14.8	59.75	2.166667
2017-11-04	6.5	5.2	0	29.8	22.44	18.8	76.5	3.866667
2017-11-05	6.3	0	26.4	21.4	18.88	17.4	86.25	3
2017-11-06	1.6	0	0	19.5	16.98	15.2	80.75	3
2017-11-07	1.9	3.6	0	24.7	18.7	14.6	73	3.033333
2017-11-08	4.4	0	0	26.2	19.62	16.1	77.75	3.166667
2017-11-09	4.3	3.9	0	26.7	21.3	17.7	82.75	1.3
2017-11-10	2.2	8.6	4.2	29.5	24.2	18.4	65.25	3.5
2017-11-11	5	0	16.4	24.8	18.92	16.4	77.5	2.733333
2017-11-12	2.2	12.4	0	28.4	21.78	12.7	40.25	1.6
2017-11-13	10.2	11.3	0	26.8	19.66	15.9	68	3.2
2017-11-14	7.4	12.1	0	28.3	19.68	13.2	60.75	3.3
2017-11-15	7.7	12.2	0	32.4	24.16	13.1	53.75	1.366667
2017-11-16	7	10	0	31.6	25.34	20.2	52	2.933333
2017-11-17	8.3	2.6	4.8	29.5	22.08	18.5	74.5	2.933333
2017-11-18	3.2	8.9	12.6	29.8	22.6	18.6	76.5	2.5
2017-11-19	5.5	2.2	22	26.2	21.66	19.1	83	3.533333
2017-11-20	2.5	0	3	21.8	19.78	18.6	86.5	2.633333
2017-11-21	1.5	3.7	6.6	29.5	22.5	17.7	78.25	2.466667
2017-11-22	2.5	0.2	28	23.5	19.44	16.7	85.5	3.033333
2017-11-23	2	1.6	0.8	22.2	18.52	15.2	80.25	2.933333
2017-11-24	2.4	8.9	0	29.4	22.18	16.5	54	2.2
2017-11-25	5.6	10.7	0	32.1	24.3	17.5	63.75	2.433333
2017-11-26	5	4.8	7.8	25.9	22.28	17.6	74.75	3
2017-11-27	5	3.5	26	26.6	21.88	17.6	82	2.033333
2017-11-28	2.7	0.3	1.2	26.4	22.1	18.7	81.75	3.4574
2017-11-29	3.6	11.9	0	26.2	19.58	15.9	69	3.766667
2017-11-30	5	3.4	0	24.3	19.52	16.4	72.75	3.533333
2017-12-01	3.3	2.5	0	25.2	20.68	18	79	3.233333
2017-12-02	3.5	2.8	0	25.4	21.24	18.2	77.5	3.666667
2017-12-03	3.2	5	0	28.5	22.1	18.6	77.25	2.966667
2017-12-04	3.4	7.9	0	30.7	23.36	19.6	76.25	3.066667
2017-12-05	4.1	8.9	0	28.2	23.4	19.3	71.25	2.8
2017-12-06	4.5	6.5	0	29.2	22.68	19.9	74.25	3.2
2017-12-07	4.1	0.6	0	27.3	22.92	19.4	79.75	1.933333
2017-12-08	2.4	1.8	8.2	28.2	22.08	19.8	90.75	2
2017-12-09	2.3	7.2	11	27.4	22.14	19.1	73.75	3.3
2017-12-10	null	8.4	0	30.2	23.06	17.3	68.5	1.466667
2017-12-11	4.5	7.4	6	30.8	23.12	18.6	74.5	4.166667
2017-12-12	5	0.2	0	21.1	18.42	17.1	80.25	3.3
2017-12-13	3	5.8	0	27.1	20.58	17.1	74.5	3.033333
2017-12-14	3.5	10	0	31.6	24	18.2	56.5	1.633333
2017-12-15	6	10.2	0	31.9	24.66	18.5	67.5	2.633333
2017-12-16	6.5	6.6	0	31.3	25.42	20.1	60.5	1.166667
2017-12-17	5.5	12.6	2.3	32.8	27.48	20.8	52.25	2.433333
2017-12-18	7.9	5.5	10.4	29.2	23.66	19.3	74.25	2.733333
2017-12-19	3.9	7.3	0	29.9	23.76	20.5	77.25	3.366667
2017-12-20	4	3.7	0	30.4	23.12	20.2	78.5	2.333333
2017-12-21	3.2	0	30.2	21.5	20.72	19.1	88.5	0.933333
2017-12-22	1.5	0.5	8.2	23	21.66	19.6	85.5	2.7
2017-12-23	3	6.6	1.8	28.6	24.22	20.3	68.5	3.566667
2017-12-24	7	1.9	0	28.1	24.92	21.5	66.75	2.1
2017-12-25	5.9	1.8	0	28.5	22.88	19.9	88.25	3.3
2017-12-26	2.2	3.6	33.2	28.7	23.1	19.9	86.5	2.133333
2017-12-27	2.1	7.1	10.5	29.7	24.34	21.1	78.5	2.233333
2017-12-28	3.8	0.3	1.2	26.4	23.46	22.1	79	2.2
2017-12-29	2	0	5.7	24.4	21.84	19.2	87	2.2
2017-12-30	2.2	0.3	15.1	25.2	21.52	19.2	84.25	4.166667
2017-12-31	3	2.5	7.5	25.4	22.1	19.7	81.75	4.733333
2018-01-01	2.8	10.1	26	29.2	24.36	19.3	72.75	2.633333
2018-01-02	3	5	0	28.1	23.94	21.6	78.5	4.266667
2018-01-03	5.7	1.3	2.2	25.9	21.5	19.8	87.5	2.433333
2018-01-04	3	11.2	12.1	28.5	22.8	19.7	52.25	3.866667
2018-01-05	6.8	10.4	0	29.4	22.84	17.5	72.25	3.1
2018-01-06	5.4	1.9	0	27.9	22.42	19.9	76.75	1.533333
2018-01-07	3.6	0	5	20.3	18.56	16.4	89.25	2.3
2018-01-08	0.8	0	34.2	21.4	18.76	16.4	93.25	0.166667
2018-01-09	0.5	0	9.7	25.5	21.16	18.3	83	2.633333
2018-01-10	2	5.3	0.8	29	22.84	19	78.75	1.433333
2018-01-11	2.2	3.7	18.5	30.2	23.68	20	72.5	2.3
2018-01-12	4.6	0.5	14.8	24.4	22.22	19.3	75	2.3
2018-01-13	0.4	2.4	0	26.8	23.08	19	64.75	1.25
